task_type,perturbation_type,n_items,mean_uncorrected_drift,std_uncorrected_drift,similarity_metric
code_generation,context_injection,50,0.110029,0.036081,sentence-transformers/all-MiniLM-L6-v2
code_generation,formatting_changes,50,0.106066,0.031596,sentence-transformers/all-MiniLM-L6-v2
code_generation,paraphrasing,50,0.129631,0.043396,sentence-transformers/all-MiniLM-L6-v2
code_generation,reordering,50,0.110978,0.038241,sentence-transformers/all-MiniLM-L6-v2
code_generation,surface_noise,50,0.106892,0.033803,sentence-transformers/all-MiniLM-L6-v2
factual_qa,context_injection,50,0.068933,0.095207,sentence-transformers/all-MiniLM-L6-v2
factual_qa,formatting_changes,50,0.063743,0.077654,sentence-transformers/all-MiniLM-L6-v2
factual_qa,paraphrasing,50,0.284235,0.161603,sentence-transformers/all-MiniLM-L6-v2
factual_qa,reordering,50,0.096174,0.099888,sentence-transformers/all-MiniLM-L6-v2
factual_qa,surface_noise,50,0.060639,0.085535,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,context_injection,50,0.186939,0.085309,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,formatting_changes,50,0.189905,0.082772,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,paraphrasing,50,0.237582,0.112549,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,reordering,50,0.194255,0.086091,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,surface_noise,50,0.185669,0.086025,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,context_injection,50,0.133928,0.094036,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,formatting_changes,50,0.139591,0.112083,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,paraphrasing,50,0.228752,0.180575,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,reordering,50,0.145666,0.091194,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,surface_noise,50,0.131962,0.096336,sentence-transformers/all-MiniLM-L6-v2
