item_id,task_type,dataset_name,n_outputs,n_pairs,mean_within_prompt_similarity,sampling_noise_drift,similarity_metric
code_generation_102,code_generation,bigcode/humanevalpack,5,10,0.96222,0.03778,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,bigcode/humanevalpack,5,10,0.970505,0.029495,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,bigcode/humanevalpack,5,10,0.953849,0.046151,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,bigcode/humanevalpack,5,10,0.919763,0.080237,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,bigcode/humanevalpack,5,10,0.970613,0.029387,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,bigcode/humanevalpack,5,10,0.947575,0.052425,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,bigcode/humanevalpack,5,10,0.971837,0.028163,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,bigcode/humanevalpack,5,10,0.951059,0.048941,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,bigcode/humanevalpack,5,10,0.950751,0.049249,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,bigcode/humanevalpack,5,10,0.936232,0.063768,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,bigcode/humanevalpack,5,10,0.958282,0.041718,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,bigcode/humanevalpack,5,10,0.939815,0.060185,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,bigcode/humanevalpack,5,10,0.942398,0.057602,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,bigcode/humanevalpack,5,10,0.957703,0.042297,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,bigcode/humanevalpack,5,10,0.94728,0.05272,sentence-transformers/all-MiniLM-L6-v2
code_generation_142,code_generation,bigcode/humanevalpack,5,10,0.904856,0.095144,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,bigcode/humanevalpack,5,10,0.965293,0.034707,sentence-transformers/all-MiniLM-L6-v2
code_generation_145,code_generation,bigcode/humanevalpack,5,10,0.921702,0.078298,sentence-transformers/all-MiniLM-L6-v2
code_generation_146,code_generation,bigcode/humanevalpack,5,10,0.91094,0.08906,sentence-transformers/all-MiniLM-L6-v2
code_generation_15,code_generation,bigcode/humanevalpack,5,10,0.98589,0.01411,sentence-transformers/all-MiniLM-L6-v2
code_generation_153,code_generation,bigcode/humanevalpack,5,10,0.961717,0.038283,sentence-transformers/all-MiniLM-L6-v2
code_generation_157,code_generation,bigcode/humanevalpack,5,10,0.937145,0.062855,sentence-transformers/all-MiniLM-L6-v2
code_generation_17,code_generation,bigcode/humanevalpack,5,10,0.960141,0.039859,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,bigcode/humanevalpack,5,10,0.940249,0.059751,sentence-transformers/all-MiniLM-L6-v2
code_generation_24,code_generation,bigcode/humanevalpack,5,10,0.968274,0.031726,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,bigcode/humanevalpack,5,10,0.965889,0.034111,sentence-transformers/all-MiniLM-L6-v2
code_generation_26,code_generation,bigcode/humanevalpack,5,10,0.859468,0.140532,sentence-transformers/all-MiniLM-L6-v2
code_generation_28,code_generation,bigcode/humanevalpack,5,10,0.902305,0.097695,sentence-transformers/all-MiniLM-L6-v2
code_generation_31,code_generation,bigcode/humanevalpack,5,10,0.922351,0.077649,sentence-transformers/all-MiniLM-L6-v2
code_generation_32,code_generation,bigcode/humanevalpack,5,10,0.890292,0.109708,sentence-transformers/all-MiniLM-L6-v2
code_generation_33,code_generation,bigcode/humanevalpack,5,10,0.951816,0.048184,sentence-transformers/all-MiniLM-L6-v2
code_generation_34,code_generation,bigcode/humanevalpack,5,10,0.968246,0.031754,sentence-transformers/all-MiniLM-L6-v2
code_generation_35,code_generation,bigcode/humanevalpack,5,10,0.950575,0.049425,sentence-transformers/all-MiniLM-L6-v2
code_generation_37,code_generation,bigcode/humanevalpack,5,10,0.970172,0.029828,sentence-transformers/all-MiniLM-L6-v2
code_generation_38,code_generation,bigcode/humanevalpack,5,10,0.912364,0.087636,sentence-transformers/all-MiniLM-L6-v2
code_generation_40,code_generation,bigcode/humanevalpack,5,10,0.893805,0.106195,sentence-transformers/all-MiniLM-L6-v2
code_generation_44,code_generation,bigcode/humanevalpack,5,10,0.92121,0.07879,sentence-transformers/all-MiniLM-L6-v2
code_generation_48,code_generation,bigcode/humanevalpack,5,10,0.973633,0.026367,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,bigcode/humanevalpack,5,10,0.922579,0.077421,sentence-transformers/all-MiniLM-L6-v2
code_generation_60,code_generation,bigcode/humanevalpack,5,10,0.936654,0.063346,sentence-transformers/all-MiniLM-L6-v2
code_generation_64,code_generation,bigcode/humanevalpack,5,10,0.957122,0.042878,sentence-transformers/all-MiniLM-L6-v2
code_generation_68,code_generation,bigcode/humanevalpack,5,10,0.925577,0.074423,sentence-transformers/all-MiniLM-L6-v2
code_generation_7,code_generation,bigcode/humanevalpack,5,10,0.964625,0.035375,sentence-transformers/all-MiniLM-L6-v2
code_generation_71,code_generation,bigcode/humanevalpack,5,10,0.973383,0.026617,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,bigcode/humanevalpack,5,10,0.920049,0.079951,sentence-transformers/all-MiniLM-L6-v2
code_generation_78,code_generation,bigcode/humanevalpack,5,10,0.92153,0.07847,sentence-transformers/all-MiniLM-L6-v2
code_generation_82,code_generation,bigcode/humanevalpack,5,10,0.960198,0.039802,sentence-transformers/all-MiniLM-L6-v2
code_generation_83,code_generation,bigcode/humanevalpack,5,10,0.906805,0.093195,sentence-transformers/all-MiniLM-L6-v2
code_generation_85,code_generation,bigcode/humanevalpack,5,10,0.931664,0.068336,sentence-transformers/all-MiniLM-L6-v2
code_generation_92,code_generation,bigcode/humanevalpack,5,10,0.984566,0.015434,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10038,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10197,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10550,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10779,factual_qa,rajpurkar/squad_v2,5,10,0.996513,0.003487,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_11075,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_11262,factual_qa,rajpurkar/squad_v2,5,10,0.993392,0.006608,sentence-transformers/all-MiniLM-L6-v2
