item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,original_performance,perturbed_performance,absolute_performance_change,pdr,performance_dropped,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric
code_generation_102,code_generation,context_injection,5,5,0.200000,0.000000,0.200000,1.000000,true,0.907713,0.870927,0.129073,0.036786,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,formatting_changes,5,5,0.200000,0.000000,0.200000,1.000000,true,0.907713,0.891651,0.108349,0.016062,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,paraphrasing,5,5,0.200000,0.000000,0.200000,1.000000,true,0.907713,0.889416,0.110584,0.018297,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,reordering,5,5,0.200000,0.000000,0.200000,1.000000,true,0.907713,0.906791,0.093209,0.000922,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,surface_noise,5,5,0.200000,0.200000,0.000000,0.000000,false,0.907713,0.910077,0.089923,-0.002364,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.882529,0.901442,0.098558,-0.018914,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.882529,0.891130,0.108870,-0.008601,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,paraphrasing,5,5,1.000000,0.800000,0.200000,0.200000,true,0.882529,0.887677,0.112323,-0.005148,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.882529,0.892090,0.107910,-0.009561,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.882529,0.892756,0.107244,-0.010227,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.905735,0.921551,0.078449,-0.015816,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.905735,0.919022,0.080978,-0.013286,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.905735,0.914764,0.085236,-0.009029,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.905735,0.898465,0.101535,0.007270,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.905735,0.915326,0.084674,-0.009591,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,context_injection,5,5,0.000000,0.000000,0.000000,,false,0.926704,0.907794,0.092206,0.018910,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,formatting_changes,5,5,0.000000,0.000000,0.000000,,false,0.926704,0.910128,0.089872,0.016576,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,paraphrasing,5,5,0.000000,0.000000,0.000000,,false,0.926704,0.911659,0.088341,0.015045,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,reordering,5,5,0.000000,0.000000,0.000000,,false,0.926704,0.927336,0.072664,-0.000632,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise,5,5,0.000000,0.000000,0.000000,,false,0.926704,0.919278,0.080722,0.007426,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,context_injection,5,5,0.800000,0.600000,0.200000,0.250000,true,0.828220,0.818758,0.181242,0.009462,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,formatting_changes,5,5,0.800000,0.800000,0.000000,0.000000,false,0.828220,0.837852,0.162148,-0.009632,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,paraphrasing,5,5,0.800000,0.800000,0.000000,0.000000,false,0.828220,0.820820,0.179180,0.007400,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,reordering,5,5,0.800000,0.600000,0.200000,0.250000,true,0.828220,0.833088,0.166912,-0.004868,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,surface_noise,5,5,0.800000,0.600000,0.200000,0.250000,true,0.828220,0.841421,0.158579,-0.013202,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,context_injection,5,5,0.000000,0.000000,0.000000,,false,0.899047,0.904418,0.095582,-0.005371,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,formatting_changes,5,5,0.000000,0.000000,0.000000,,false,0.899047,0.904066,0.095934,-0.005018,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,paraphrasing,5,5,0.000000,0.000000,0.000000,,false,0.899047,0.848489,0.151511,0.050558,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,reordering,5,5,0.000000,0.000000,0.000000,,false,0.899047,0.901696,0.098304,-0.002648,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,surface_noise,5,5,0.000000,0.000000,0.000000,,false,0.899047,0.809936,0.190064,0.089112,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,context_injection,5,5,0.600000,0.600000,0.000000,0.000000,false,0.797472,0.863051,0.136949,-0.065579,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,formatting_changes,5,5,0.600000,1.000000,-0.400000,-0.666667,false,0.797472,0.862731,0.137269,-0.065259,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,paraphrasing,5,5,0.600000,0.800000,-0.200000,-0.333333,false,0.797472,0.837171,0.162829,-0.039699,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,reordering,5,5,0.600000,0.600000,0.000000,0.000000,false,0.797472,0.865914,0.134086,-0.068442,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,surface_noise,5,5,0.600000,1.000000,-0.400000,-0.666667,false,0.797472,0.838544,0.161456,-0.041072,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,context_injection,5,5,1.000000,0.600000,0.400000,0.400000,true,0.940768,0.924904,0.075096,0.015864,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.940768,0.865050,0.134950,0.075718,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,paraphrasing,5,5,1.000000,0.800000,0.200000,0.200000,true,0.940768,0.908895,0.091105,0.031873,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.940768,0.927690,0.072310,0.013078,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.940768,0.888783,0.111217,0.051985,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.928678,0.915399,0.084601,0.013280,sentence-transformers/all-MiniLM-L6-v2
