task_type,perturbation_type,n_items,mean_noise_corrected_drift,std_noise_corrected_drift,similarity_metric
code_generation,context_injection,50,0.004505,0.025704,sentence-transformers/all-MiniLM-L6-v2
code_generation,formatting_changes,50,0.000542,0.025914,sentence-transformers/all-MiniLM-L6-v2
code_generation,paraphrasing,50,0.024106,0.035977,sentence-transformers/all-MiniLM-L6-v2
code_generation,reordering,50,0.005454,0.027593,sentence-transformers/all-MiniLM-L6-v2
code_generation,surface_noise,50,0.001368,0.030301,sentence-transformers/all-MiniLM-L6-v2
factual_qa,context_injection,50,0.015019,0.048489,sentence-transformers/all-MiniLM-L6-v2
factual_qa,formatting_changes,50,0.009829,0.038047,sentence-transformers/all-MiniLM-L6-v2
factual_qa,paraphrasing,50,0.084347,0.087309,sentence-transformers/all-MiniLM-L6-v2
factual_qa,reordering,50,0.04226,0.091587,sentence-transformers/all-MiniLM-L6-v2
factual_qa,surface_noise,50,0.006725,0.035346,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,context_injection,50,0.007091,0.038381,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,formatting_changes,50,0.010057,0.047282,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,paraphrasing,50,0.041361,0.051127,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,reordering,50,0.014406,0.046075,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,surface_noise,50,0.00582,0.035721,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,context_injection,50,0.017892,0.060497,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,formatting_changes,50,0.023555,0.066732,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,paraphrasing,50,0.112716,0.169658,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,reordering,50,0.02963,0.075201,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,surface_noise,50,0.015927,0.043577,sentence-transformers/all-MiniLM-L6-v2
