item_id,task_type,dataset_name,dataset_split,source_index,source_id,prompt_text,reference_answer,random_seed
factual_qa_8554,factual_qa,mandarjoshi/trivia_qa,validation,8554,odql_12145,Which Chilean socialist leader was deposed and killed by General Pinochet during a U.S. backed coup in 1973?,(Salvador) Allende,20260623
factual_qa_8562,factual_qa,mandarjoshi/trivia_qa,validation,8562,odql_12228,Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Liverpool,20260623
factual_qa_8574,factual_qa,mandarjoshi/trivia_qa,validation,8574,odql_12322,Which U.S. president was born Leslie Lynch King Jr.?,(Gerald) Ford,20260623
math_reasoning_5020,math_reasoning,openai/gsm8k,train,5020,5020,"Alice was able to sell $2500 worth of gadgets. For this month, she expects to receive her monthly basic salary of $240 and a 2% commission from these sales. How much is she going to save this month if she usually saves 10% of her total earnings?",29,20260623
math_reasoning_5021,math_reasoning,openai/gsm8k,train,5021,5021,Jesse received $50 as a gift to buy what she wants. She goes to the mall and falls in love with a novel that costs her $7. Then she went to lunch because she was very hungry and spent twice as much as the novel cost her. How much money did Jesse have left after going to the mall?,29,20260623
math_reasoning_5022,math_reasoning,openai/gsm8k,train,5022,5022,"Georgie is a varsity player on a football team. He can run 40 yards within 5 seconds. If he can improve his speed by forty percent, how many yards will he be able to run within 10 seconds?",112,20260623
code_generation_2,code_generation,bigcode/humanevalpack,test,2,Python/2,"Write a Python function `truncate_number(number: float) -> float` to solve the following problem: Given a positive floating point number, it can be decomposed into and integer part (largest integer smaller than given number) and decimals (leftover part always smaller than 1). Return the decimal part of the number. >>> truncate_number(3.5) 0.5",return number % 1.0,20260623
code_generation_3,code_generation,bigcode/humanevalpack,test,3,Python/3,"Write a Python function `below_zero(operations: List[int]) -> bool` to solve the following problem: You're given a list of deposit and withdrawal operations on a bank account that starts with zero balance. Your task is to detect if at any point the balance of account fallls below zero, and at that point function should return True. Otherwise it should return False. >>> below_zero([1, 2, 3]) False >>> below_zero([1, 2, -4, 5]) True",balance = 0 for op in operations: balance += op if balance < 0: return True return False,20260623
code_generation_4,code_generation,bigcode/humanevalpack,test,4,Python/4,"Write a Python function `mean_absolute_deviation(numbers: List[float]) -> float` to solve the following problem: For a given list of input numbers, calculate Mean Absolute Deviation around the mean of this dataset. Mean Absolute Deviation is the average absolute difference between each element and a centerpoint (mean in this case): MAD = average | x - x_mean | >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0]) 1.0",mean = sum(numbers) / len(numbers) return sum(abs(x - mean) for x in numbers) / len(numbers),20260623
open_ended_writing_9814,open_ended_writing,tatsu-lab/alpaca,train,9814,9814,Generate a response that expresses surprise for the following statement. Input: He ran a marathon in two hours.,Wow! That's incredible!,20260623
open_ended_writing_9815,open_ended_writing,tatsu-lab/alpaca,train,9815,9815,Summarize the text input in two sentences to the best of your ability Input: John had been looking for a job for a few months now. He had applied to a few places but none of them seemed to be suitable for him. He had a few interviews but was turned down for each of them.,"John has been unemployed for several months, having applied and interviewed for different positions without success. He has been unable to find a job that meets his requirements and has been rejected by the places he has applied to.",20260623
open_ended_writing_9825,open_ended_writing,tatsu-lab/alpaca,train,9825,9825,"Insert a comma before ""but"" when the sentence has a compound clause. Input: I like to go for a morning run but I dislike running in the evening.","I like to go for a morning run, but I dislike running in the evening.",20260623
