CMD: C:\Users\wenfeng.lin\AppData\Local\Programs\Python\Python313\python.exe D:\pioneer_kayley\Pioneer\src\11_generate_rq1b_perturbed_outputs_qwen.py
ENVS: API_KEY=set
Submitting 250 jobs with workers=1.
[1/250] open_ended_writing_10208 paraphrasing sample 1
[2/250] open_ended_writing_10208 paraphrasing sample 2
[3/250] open_ended_writing_10208 paraphrasing sample 3
[4/250] open_ended_writing_10208 paraphrasing sample 4
[5/250] open_ended_writing_10208 paraphrasing sample 5
[6/250] open_ended_writing_10208 reordering sample 1
[7/250] open_ended_writing_10208 reordering sample 2
[8/250] open_ended_writing_10208 reordering sample 3
[9/250] open_ended_writing_10208 reordering sample 4
[10/250] open_ended_writing_10208 reordering sample 5
[11/250] open_ended_writing_10208 formatting_changes sample 1
[12/250] open_ended_writing_10208 formatting_changes sample 2
[13/250] open_ended_writing_10208 formatting_changes sample 3
[14/250] open_ended_writing_10208 formatting_changes sample 4
[15/250] open_ended_writing_10208 formatting_changes sample 5
[16/250] open_ended_writing_10208 context_injection sample 1
[17/250] open_ended_writing_10208 context_injection sample 2
[18/250] open_ended_writing_10208 context_injection sample 3
[19/250] open_ended_writing_10208 context_injection sample 4
[20/250] open_ended_writing_10208 context_injection sample 5
[21/250] open_ended_writing_10208 surface_noise sample 1
[22/250] open_ended_writing_10208 surface_noise sample 2
[23/250] open_ended_writing_10208 surface_noise sample 3
[24/250] open_ended_writing_10208 surface_noise sample 4
[25/250] open_ended_writing_10208 surface_noise sample 5
[26/250] open_ended_writing_45338 paraphrasing sample 1
[27/250] open_ended_writing_45338 paraphrasing sample 2
[28/250] open_ended_writing_45338 paraphrasing sample 3
[29/250] open_ended_writing_45338 paraphrasing sample 4
[30/250] open_ended_writing_45338 paraphrasing sample 5
[31/250] open_ended_writing_45338 reordering sample 1
[32/250] open_ended_writing_45338 reordering sample 2
[33/250] open_ended_writing_45338 reordering sample 3
[34/250] open_ended_writing_45338 reordering sample 4
[35/250] open_ended_writing_45338 reordering sample 5
[36/250] open_ended_writing_45338 formatting_changes sample 1
[37/250] open_ended_writing_45338 formatting_changes sample 2
[38/250] open_ended_writing_45338 formatting_changes sample 3
[39/250] open_ended_writing_45338 formatting_changes sample 4
[40/250] open_ended_writing_45338 formatting_changes sample 5
[41/250] open_ended_writing_45338 context_injection sample 1
[42/250] open_ended_writing_45338 context_injection sample 2
[43/250] open_ended_writing_45338 context_injection sample 3
[44/250] open_ended_writing_45338 context_injection sample 4
[45/250] open_ended_writing_45338 context_injection sample 5
[46/250] open_ended_writing_45338 surface_noise sample 1
[47/250] open_ended_writing_45338 surface_noise sample 2
[48/250] open_ended_writing_45338 surface_noise sample 3
[49/250] open_ended_writing_45338 surface_noise sample 4
[50/250] open_ended_writing_45338 surface_noise sample 5
[51/250] open_ended_writing_11297 paraphrasing sample 1
[52/250] open_ended_writing_11297 paraphrasing sample 2
[53/250] open_ended_writing_11297 paraphrasing sample 3
[54/250] open_ended_writing_11297 paraphrasing sample 4
[55/250] open_ended_writing_11297 paraphrasing sample 5
[56/250] open_ended_writing_11297 reordering sample 1
[57/250] open_ended_writing_11297 reordering sample 2
[58/250] open_ended_writing_11297 reordering sample 3
[59/250] open_ended_writing_11297 reordering sample 4
[60/250] open_ended_writing_11297 reordering sample 5
[61/250] open_ended_writing_11297 formatting_changes sample 1
[62/250] open_ended_writing_11297 formatting_changes sample 2
[63/250] open_ended_writing_11297 formatting_changes sample 3
[64/250] open_ended_writing_11297 formatting_changes sample 4
[65/250] open_ended_writing_11297 formatting_changes sample 5
[66/250] open_ended_writing_11297 context_injection sample 1
[67/250] open_ended_writing_11297 context_injection sample 2
[68/250] open_ended_writing_11297 context_injection sample 3
[69/250] open_ended_writing_11297 context_injection sample 4
[70/250] open_ended_writing_11297 context_injection sample 5
[71/250] open_ended_writing_11297 surface_noise sample 1
[72/250] open_ended_writing_11297 surface_noise sample 2
[73/250] open_ended_writing_11297 surface_noise sample 3
[74/250] open_ended_writing_11297 surface_noise sample 4
[75/250] open_ended_writing_11297 surface_noise sample 5
[76/250] open_ended_writing_36102 paraphrasing sample 1
[77/250] open_ended_writing_36102 paraphrasing sample 2
[78/250] open_ended_writing_36102 paraphrasing sample 3
[79/250] open_ended_writing_36102 paraphrasing sample 4
[80/250] open_ended_writing_36102 paraphrasing sample 5
[81/250] open_ended_writing_36102 reordering sample 1
[82/250] open_ended_writing_36102 reordering sample 2
[83/250] open_ended_writing_36102 reordering sample 3
[84/250] open_ended_writing_36102 reordering sample 4
[85/250] open_ended_writing_36102 reordering sample 5
[86/250] open_ended_writing_36102 formatting_changes sample 1
[87/250] open_ended_writing_36102 formatting_changes sample 2
[88/250] open_ended_writing_36102 formatting_changes sample 3
[89/250] open_ended_writing_36102 formatting_changes sample 4
[90/250] open_ended_writing_36102 formatting_changes sample 5
[91/250] open_ended_writing_36102 context_injection sample 1
[92/250] open_ended_writing_36102 context_injection sample 2
[93/250] open_ended_writing_36102 context_injection sample 3
[94/250] open_ended_writing_36102 context_injection sample 4
[95/250] open_ended_writing_36102 context_injection sample 5
[96/250] open_ended_writing_36102 surface_noise sample 1
[97/250] open_ended_writing_36102 surface_noise sample 2
[98/250] open_ended_writing_36102 surface_noise sample 3
[99/250] open_ended_writing_36102 surface_noise sample 4
[100/250] open_ended_writing_36102 surface_noise sample 5
[101/250] open_ended_writing_16258 paraphrasing sample 1
[102/250] open_ended_writing_16258 paraphrasing sample 2
[103/250] open_ended_writing_16258 paraphrasing sample 3
[104/250] open_ended_writing_16258 paraphrasing sample 4
[105/250] open_ended_writing_16258 paraphrasing sample 5
[106/250] open_ended_writing_16258 reordering sample 1
[107/250] open_ended_writing_16258 reordering sample 2
[108/250] open_ended_writing_16258 reordering sample 3
[109/250] open_ended_writing_16258 reordering sample 4
[110/250] open_ended_writing_16258 reordering sample 5
[111/250] open_ended_writing_16258 formatting_changes sample 1
[112/250] open_ended_writing_16258 formatting_changes sample 2
[113/250] open_ended_writing_16258 formatting_changes sample 3
[114/250] open_ended_writing_16258 formatting_changes sample 4
[115/250] open_ended_writing_16258 formatting_changes sample 5
[116/250] open_ended_writing_16258 context_injection sample 1
[117/250] open_ended_writing_16258 context_injection sample 2
[118/250] open_ended_writing_16258 context_injection sample 3
[119/250] open_ended_writing_16258 context_injection sample 4
[120/250] open_ended_writing_16258 context_injection sample 5
[121/250] open_ended_writing_16258 surface_noise sample 1
[122/250] open_ended_writing_16258 surface_noise sample 2
[123/250] open_ended_writing_16258 surface_noise sample 3
[124/250] open_ended_writing_16258 surface_noise sample 4
[125/250] open_ended_writing_16258 surface_noise sample 5
[126/250] open_ended_writing_35144 paraphrasing sample 1
[127/250] open_ended_writing_35144 paraphrasing sample 2
[128/250] open_ended_writing_35144 paraphrasing sample 3
[129/250] open_ended_writing_35144 paraphrasing sample 4
[130/250] open_ended_writing_35144 paraphrasing sample 5
[131/250] open_ended_writing_35144 reordering sample 1
[132/250] open_ended_writing_35144 reordering sample 2
[133/250] open_ended_writing_35144 reordering sample 3
[134/250] open_ended_writing_35144 reordering sample 4
[135/250] open_ended_writing_35144 reordering sample 5
[136/250] open_ended_writing_35144 formatting_changes sample 1
[137/250] open_ended_writing_35144 formatting_changes sample 2
[138/250] open_ended_writing_35144 formatting_changes sample 3
[139/250] open_ended_writing_35144 formatting_changes sample 4
[140/250] open_ended_writing_35144 formatting_changes sample 5
[141/250] open_ended_writing_35144 context_injection sample 1
[142/250] open_ended_writing_35144 context_injection sample 2
[143/250] open_ended_writing_35144 context_injection sample 3
[144/250] open_ended_writing_35144 context_injection sample 4
[145/250] open_ended_writing_35144 context_injection sample 5
[146/250] open_ended_writing_35144 surface_noise sample 1
[147/250] open_ended_writing_35144 surface_noise sample 2
[148/250] open_ended_writing_35144 surface_noise sample 3
[149/250] open_ended_writing_35144 surface_noise sample 4
[150/250] open_ended_writing_35144 surface_noise sample 5
[151/250] open_ended_writing_10774 paraphrasing sample 1
[152/250] open_ended_writing_10774 paraphrasing sample 2
[153/250] open_ended_writing_10774 paraphrasing sample 3
[154/250] open_ended_writing_10774 paraphrasing sample 4
[155/250] open_ended_writing_10774 paraphrasing sample 5
[156/250] open_ended_writing_10774 reordering sample 1
[157/250] open_ended_writing_10774 reordering sample 2
[158/250] open_ended_writing_10774 reordering sample 3
[159/250] open_ended_writing_10774 reordering sample 4
[160/250] open_ended_writing_10774 reordering sample 5
[161/250] open_ended_writing_10774 formatting_changes sample 1
[162/250] open_ended_writing_10774 formatting_changes sample 2
[163/250] open_ended_writing_10774 formatting_changes sample 3
[164/250] open_ended_writing_10774 formatting_changes sample 4
[165/250] open_ended_writing_10774 formatting_changes sample 5
[166/250] open_ended_writing_10774 context_injection sample 1
[167/250] open_ended_writing_10774 context_injection sample 2
[168/250] open_ended_writing_10774 context_injection sample 3
[169/250] open_ended_writing_10774 context_injection sample 4
[170/250] open_ended_writing_10774 context_injection sample 5
[171/250] open_ended_writing_10774 surface_noise sample 1
[172/250] open_ended_writing_10774 surface_noise sample 2
[173/250] open_ended_writing_10774 surface_noise sample 3
[174/250] open_ended_writing_10774 surface_noise sample 4
[175/250] open_ended_writing_10774 surface_noise sample 5
[176/250] open_ended_writing_50246 paraphrasing sample 1
[177/250] open_ended_writing_50246 paraphrasing sample 2
[178/250] open_ended_writing_50246 paraphrasing sample 3
[179/250] open_ended_writing_50246 paraphrasing sample 4
[180/250] open_ended_writing_50246 paraphrasing sample 5
[181/250] open_ended_writing_50246 reordering sample 1
[182/250] open_ended_writing_50246 reordering sample 2
[183/250] open_ended_writing_50246 reordering sample 3
[184/250] open_ended_writing_50246 reordering sample 4
[185/250] open_ended_writing_50246 reordering sample 5
[186/250] open_ended_writing_50246 formatting_changes sample 1
[187/250] open_ended_writing_50246 formatting_changes sample 2
[188/250] open_ended_writing_50246 formatting_changes sample 3
[189/250] open_ended_writing_50246 formatting_changes sample 4
[190/250] open_ended_writing_50246 formatting_changes sample 5
[191/250] open_ended_writing_50246 context_injection sample 1
[192/250] open_ended_writing_50246 context_injection sample 2
[193/250] open_ended_writing_50246 context_injection sample 3
[194/250] open_ended_writing_50246 context_injection sample 4
[195/250] open_ended_writing_50246 context_injection sample 5
[196/250] open_ended_writing_50246 surface_noise sample 1
[197/250] open_ended_writing_50246 surface_noise sample 2
[198/250] open_ended_writing_50246 surface_noise sample 3
[199/250] open_ended_writing_50246 surface_noise sample 4
[200/250] open_ended_writing_50246 surface_noise sample 5
[201/250] open_ended_writing_34294 paraphrasing sample 1
[202/250] open_ended_writing_34294 paraphrasing sample 2
[203/250] open_ended_writing_34294 paraphrasing sample 3
[204/250] open_ended_writing_34294 paraphrasing sample 4
[205/250] open_ended_writing_34294 paraphrasing sample 5
[206/250] open_ended_writing_34294 reordering sample 1
[207/250] open_ended_writing_34294 reordering sample 2
[208/250] open_ended_writing_34294 reordering sample 3
[209/250] open_ended_writing_34294 reordering sample 4
[210/250] open_ended_writing_34294 reordering sample 5
[211/250] open_ended_writing_34294 formatting_changes sample 1
[212/250] open_ended_writing_34294 formatting_changes sample 2
[213/250] open_ended_writing_34294 formatting_changes sample 3
[214/250] open_ended_writing_34294 formatting_changes sample 4
[215/250] open_ended_writing_34294 formatting_changes sample 5
[216/250] open_ended_writing_34294 context_injection sample 1
[217/250] open_ended_writing_34294 context_injection sample 2
[218/250] open_ended_writing_34294 context_injection sample 3
[219/250] open_ended_writing_34294 context_injection sample 4
[220/250] open_ended_writing_34294 context_injection sample 5
[221/250] open_ended_writing_34294 surface_noise sample 1
[222/250] open_ended_writing_34294 surface_noise sample 2
[223/250] open_ended_writing_34294 surface_noise sample 3
[224/250] open_ended_writing_34294 surface_noise sample 4
[225/250] open_ended_writing_34294 surface_noise sample 5
[226/250] open_ended_writing_35341 paraphrasing sample 1
[227/250] open_ended_writing_35341 paraphrasing sample 2
[228/250] open_ended_writing_35341 paraphrasing sample 3
[229/250] open_ended_writing_35341 paraphrasing sample 4
[230/250] open_ended_writing_35341 paraphrasing sample 5
[231/250] open_ended_writing_35341 reordering sample 1
[232/250] open_ended_writing_35341 reordering sample 2
[233/250] open_ended_writing_35341 reordering sample 3
[234/250] open_ended_writing_35341 reordering sample 4
[235/250] open_ended_writing_35341 reordering sample 5
[236/250] open_ended_writing_35341 formatting_changes sample 1
[237/250] open_ended_writing_35341 formatting_changes sample 2
[238/250] open_ended_writing_35341 formatting_changes sample 3
[239/250] open_ended_writing_35341 formatting_changes sample 4
[240/250] open_ended_writing_35341 formatting_changes sample 5
[241/250] open_ended_writing_35341 context_injection sample 1
[242/250] open_ended_writing_35341 context_injection sample 2
