item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric,problem_content_recall,problem_content_jaccard,prompt_content_recall,math_token_recall,number_recall,problem_length_delta_tokens,original_mean_output_length_tokens,original_answer_token_f1,original_answer_containment,paraphrase_mean_output_length_tokens,paraphrase_answer_token_f1,paraphrase_answer_containment,output_length_delta_tokens,answer_token_f1_delta,answer_containment_delta
math_reasoning_10051,math_reasoning,paraphrasing,5,5,0.909353,0.856869,0.143131,0.052484,sentence-transformers/all-MiniLM-L6-v2,0.8928571428571429,0.8064516129032258,0.9117647058823529,1.0,1.0,-4,50.4,0.039086221971490934,1.0,67.8,0.030506859987505776,1.0,17.4,-0.008579361983985158,0.0
math_reasoning_10521,math_reasoning,paraphrasing,5,5,0.891441,0.834715,0.165285,0.056726,sentence-transformers/all-MiniLM-L6-v2,0.6923076923076923,0.45,0.7894736842105263,1.0,1.0,15,91.4,0.020276369432201572,0.8,144.6,0.0070177945117088775,0.6,53.19999999999999,-0.013258574920492695,-0.20000000000000007
math_reasoning_10586,math_reasoning,paraphrasing,5,5,0.768719,0.640425,0.359575,0.128293,sentence-transformers/all-MiniLM-L6-v2,0.7,0.5384615384615384,0.7391304347826086,1.0,1.0,-2,52.6,0.0,0.0,365.6,0.0,0.0,313.0,0.0,0.0
math_reasoning_10682,math_reasoning,paraphrasing,5,5,0.870432,0.845715,0.154285,0.024717,sentence-transformers/all-MiniLM-L6-v2,0.8846153846153846,0.6571428571428571,0.9333333333333333,0.9166666666666666,1.0,12,246.4,0.014069586154757896,0.0,195.6,0.010477080182758634,0.0,-50.80000000000001,-0.0035925059719992616,0.0
math_reasoning_10926,math_reasoning,paraphrasing,5,5,0.941834,0.900866,0.099134,0.040968,sentence-transformers/all-MiniLM-L6-v2,0.46153846153846156,0.2857142857142857,0.631578947368421,1.0,1.0,10,57.8,0.034247748485036617,1.0,70.6,0.02928625099476246,1.0,12.799999999999997,-0.004961497490274157,0.0
math_reasoning_11055,math_reasoning,paraphrasing,5,5,0.821912,0.811709,0.188291,0.010202,sentence-transformers/all-MiniLM-L6-v2,0.8333333333333334,0.625,0.8888888888888888,1.0,1.0,7,785.2,0.0,0.0,581.8,0.00382530748384407,0.0,-203.4000000000001,0.00382530748384407,0.0
math_reasoning_1121,math_reasoning,paraphrasing,5,5,0.869242,0.805072,0.194928,0.06417,sentence-transformers/all-MiniLM-L6-v2,0.5555555555555556,0.40540540540540543,0.6363636363636364,1.0,1.0,-5,214.6,0.008128690121751317,0.0,197.4,0.002588996763754045,0.0,-17.19999999999999,-0.005539693357997272,0.0
math_reasoning_11297,math_reasoning,paraphrasing,5,5,0.895632,0.86923,0.13077,0.026402,sentence-transformers/all-MiniLM-L6-v2,0.9523809523809523,0.8333333333333334,0.9565217391304348,1.0,1.0,5,57.8,0.03671824564906326,1.0,66.2,0.03916492369202825,1.0,8.400000000000006,0.0024466780429649934,0.0
math_reasoning_11759,math_reasoning,paraphrasing,5,5,0.873827,0.825006,0.174994,0.048821,sentence-transformers/all-MiniLM-L6-v2,0.8181818181818182,0.45,0.8823529411764706,1.0,1.0,11,304.2,0.024483256540225356,0.0,319.4,0.020351006934243333,0.0,15.199999999999989,-0.0041322496059820225,0.0
math_reasoning_1600,math_reasoning,paraphrasing,5,5,0.649741,0.613149,0.386851,0.036592,sentence-transformers/all-MiniLM-L6-v2,0.9230769230769231,0.8372093023255814,0.9333333333333333,1.0,1.0,3,24.2,0.09969363969363969,1.0,44.2,0.08046148409619558,1.0,20.000000000000004,-0.01923215559744411,0.0
math_reasoning_1650,math_reasoning,paraphrasing,5,5,0.798353,0.777768,0.222232,0.020585,sentence-transformers/all-MiniLM-L6-v2,0.7692307692307693,0.5263157894736842,0.8421052631578947,1.0,1.0,6,184.2,0.0,0.2,313.4,0.0,0.2,129.2,0.0,0.0
math_reasoning_190,math_reasoning,paraphrasing,5,5,0.733095,0.665317,0.334683,0.067778,sentence-transformers/all-MiniLM-L6-v2,0.7692307692307693,0.45454545454545453,0.8421052631578947,1.0,1.0,13,202.4,0.01787687697330902,0.2,131.0,0.022175431451329972,0.2,-71.4,0.004298554478020952,0.0
math_reasoning_2166,math_reasoning,paraphrasing,5,5,0.824354,0.727236,0.272764,0.097118,sentence-transformers/all-MiniLM-L6-v2,0.8095238095238095,0.4857142857142857,0.8518518518518519,1.0,1.0,12,152.0,0.0,0.0,208.6,0.0,0.0,56.599999999999994,0.0,0.0
math_reasoning_2652,math_reasoning,paraphrasing,5,5,0.698071,0.658981,0.341019,0.03909,sentence-transformers/all-MiniLM-L6-v2,0.8125,0.65,0.8636363636363636,1.0,1.0,2,374.6,0.00594365191861581,0.8,195.2,0.010277783378700809,0.8,-179.40000000000003,0.004334131460084999,0.0
