item_id,task_type,perturbation_type,similarity,retention_probability,is_correct_simulated,similarity_metric
code_generation_102,code_generation,context_injection,0.9458,0.8633733336542124,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,formatting_changes,0.927209,0.8504755185780917,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,paraphrasing,0.944579,0.8625879464403232,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,reordering,0.954969,0.8690105144475171,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,surface_noise,0.954536,0.8687544167209087,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,context_injection,0.963,0.8735858926644473,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,formatting_changes,0.969843,0.8772325362616205,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,paraphrasing,0.958824,0.8712476821962694,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,reordering,0.955933,0.8695771553979197,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,surface_noise,0.953584,0.8681878945478738,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,context_injection,0.959277,0.8715055666354514,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,formatting_changes,0.953595,0.8681944677637203,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,paraphrasing,0.958252,0.8709205615308806,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,reordering,0.953433,0.8680975976175109,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise,0.953376,0.8680634806937462,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,context_injection,0.939775,0.8594159289704,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,formatting_changes,0.93738,0.8577848299710571,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,paraphrasing,0.909105,0.8358361582105629,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,reordering,0.938644,0.85864984392542,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise,0.934266,0.855613489004357,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,context_injection,0.949131,0.8654739102260252,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,formatting_changes,0.936682,0.8573031300432536,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,paraphrasing,0.874408,0.8012782637301077,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,reordering,0.937421,0.8578130353584621,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,surface_noise,0.913252,0.8393822662782899,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,context_injection,0.960341,0.8721071957224766,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,formatting_changes,0.948813,0.8652760055401361,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,paraphrasing,0.951647,0.8670204041887999,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,reordering,0.953039,0.8678614205727564,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,surface_noise,0.889204,0.8171197458727202,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,context_injection,0.979877,0.8821856590495938,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,formatting_changes,0.966979,0.8757336881342823,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,paraphrasing,0.945375,0.8631009054433765,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,reordering,0.981084,0.8827513349147431,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,surface_noise,0.951336,0.8668310909108303,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,context_injection,0.943354,0.8617915721447507,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,formatting_changes,0.949573,0.8657480708686061,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,paraphrasing,0.964933,0.8746389112760411,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,reordering,0.955931,0.8695759848018001,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise,0.947704,0.864581502183571,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,context_injection,0.954946,0.8689969357853256,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,formatting_changes,0.950041,0.8660372025512879,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,paraphrasing,0.949456,0.8656756022914216,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,reordering,0.933711,0.8552204163915849,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,surface_noise,0.950504,0.8663220787992709,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,context_injection,0.93777,0.8580527248584682,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,formatting_changes,0.936097,0.8568971945344477,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,paraphrasing,0.905352,0.8325243840447267,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,reordering,0.936193,0.8569639487005896,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,surface_noise,0.929083,0.8518698175129635,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,context_injection,0.962796,0.8734736906797045,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,formatting_changes,0.953012,0.86784520575216,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,paraphrasing,0.92714,0.8504237623239275,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,reordering,0.957387,0.8704227003279759,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,surface_noise,0.95601,0.86962220755548,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,context_injection,0.930633,0.8530065947116654,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,formatting_changes,0.94464,0.8626273817738912,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,paraphrasing,0.944715,0.8626758392096328,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,reordering,0.933178,0.8548411782167613,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,surface_noise,0.942795,0.8614253462515735,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,context_injection,0.94228,0.861086375162224,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,formatting_changes,0.952348,0.8674452232549825,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,paraphrasing,0.935852,0.8567265843375915,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,reordering,0.931425,0.8535817477595957,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,surface_noise,0.860098,0.7843067160935968,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,context_injection,0.952472,0.8675200967721581,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,formatting_changes,0.95243,0.86749474555442,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,paraphrasing,0.839262,0.7565976359131774,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,reordering,0.950152,0.8661056046043318,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,surface_noise,0.954885,0.868960909411592,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,context_injection,0.925427,0.8491292550057246,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,formatting_changes,0.91694,0.8424378764448088,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,paraphrasing,0.916738,0.8422728702252804,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,reordering,0.933546,0.8551031993839469,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,surface_noise,0.936735,0.857339807020933,1,sentence-transformers/all-MiniLM-L6-v2
