item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric
code_generation_102,code_generation,context_injection,5,5,0.96222,0.9458,0.0542,0.01642,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,formatting_changes,5,5,0.96222,0.927209,0.072791,0.035011,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,paraphrasing,5,5,0.96222,0.944579,0.055421,0.017641,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,reordering,5,5,0.96222,0.954969,0.045031,0.007252,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,surface_noise,5,5,0.96222,0.954536,0.045464,0.007684,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,context_injection,5,5,0.970505,0.963,0.037,0.007505,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,formatting_changes,5,5,0.970505,0.969843,0.030157,0.000662,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,paraphrasing,5,5,0.970505,0.958824,0.041176,0.011681,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,reordering,5,5,0.970505,0.955933,0.044067,0.014572,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,surface_noise,5,5,0.970505,0.953584,0.046416,0.016921,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,context_injection,5,5,0.953849,0.959277,0.040723,-0.005428,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,formatting_changes,5,5,0.953849,0.953595,0.046405,0.000255,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,paraphrasing,5,5,0.953849,0.958252,0.041748,-0.004403,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,reordering,5,5,0.953849,0.953433,0.046567,0.000416,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise,5,5,0.953849,0.953376,0.046624,0.000473,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,context_injection,5,5,0.919763,0.939775,0.060225,-0.020011,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,formatting_changes,5,5,0.919763,0.93738,0.06262,-0.017617,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,paraphrasing,5,5,0.919763,0.909105,0.090895,0.010658,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,reordering,5,5,0.919763,0.938644,0.061356,-0.018881,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise,5,5,0.919763,0.934266,0.065734,-0.014502,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,context_injection,5,5,0.970613,0.949131,0.050869,0.021482,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,formatting_changes,5,5,0.970613,0.936682,0.063318,0.033931,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,paraphrasing,5,5,0.970613,0.874408,0.125592,0.096205,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,reordering,5,5,0.970613,0.937421,0.062579,0.033192,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,surface_noise,5,5,0.970613,0.913252,0.086748,0.057361,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,context_injection,5,5,0.947575,0.960341,0.039659,-0.012766,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,formatting_changes,5,5,0.947575,0.948813,0.051187,-0.001238,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,paraphrasing,5,5,0.947575,0.951647,0.048353,-0.004072,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,reordering,5,5,0.947575,0.953039,0.046961,-0.005463,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,surface_noise,5,5,0.947575,0.889204,0.110796,0.058372,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,context_injection,5,5,0.971837,0.979877,0.020123,-0.00804,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,formatting_changes,5,5,0.971837,0.966979,0.033021,0.004858,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,paraphrasing,5,5,0.971837,0.945375,0.054625,0.026461,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,reordering,5,5,0.971837,0.981084,0.018916,-0.009248,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,surface_noise,5,5,0.971837,0.951336,0.048664,0.0205,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,context_injection,5,5,0.951059,0.943354,0.056646,0.007705,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,formatting_changes,5,5,0.951059,0.949573,0.050427,0.001486,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,paraphrasing,5,5,0.951059,0.964933,0.035067,-0.013874,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,reordering,5,5,0.951059,0.955931,0.044069,-0.004872,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise,5,5,0.951059,0.947704,0.052296,0.003355,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,context_injection,5,5,0.950751,0.954946,0.045054,-0.004195,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,formatting_changes,5,5,0.950751,0.950041,0.049959,0.000709,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,paraphrasing,5,5,0.950751,0.949456,0.050544,0.001295,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,reordering,5,5,0.950751,0.933711,0.066289,0.01704,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,surface_noise,5,5,0.950751,0.950504,0.049496,0.000247,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,context_injection,5,5,0.936232,0.93777,0.06223,-0.001538,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,formatting_changes,5,5,0.936232,0.936097,0.063903,0.000135,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,paraphrasing,5,5,0.936232,0.905352,0.094648,0.03088,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,reordering,5,5,0.936232,0.936193,0.063807,3.9e-05,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,surface_noise,5,5,0.936232,0.929083,0.070917,0.00715,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,context_injection,5,5,0.958282,0.962796,0.037204,-0.004515,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,formatting_changes,5,5,0.958282,0.953012,0.046988,0.00527,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,paraphrasing,5,5,0.958282,0.92714,0.07286,0.031142,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,reordering,5,5,0.958282,0.957387,0.042613,0.000895,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,surface_noise,5,5,0.958282,0.95601,0.04399,0.002272,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,context_injection,5,5,0.939815,0.930633,0.069367,0.009182,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,formatting_changes,5,5,0.939815,0.94464,0.05536,-0.004825,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,paraphrasing,5,5,0.939815,0.944715,0.055285,-0.0049,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,reordering,5,5,0.939815,0.933178,0.066822,0.006638,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,surface_noise,5,5,0.939815,0.942795,0.057205,-0.002979,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,context_injection,5,5,0.942398,0.94228,0.05772,0.000118,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,formatting_changes,5,5,0.942398,0.952348,0.047652,-0.00995,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,paraphrasing,5,5,0.942398,0.935852,0.064148,0.006547,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,reordering,5,5,0.942398,0.931425,0.068575,0.010973,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,surface_noise,5,5,0.942398,0.860098,0.139902,0.0823,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,context_injection,5,5,0.957703,0.952472,0.047528,0.005232,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,formatting_changes,5,5,0.957703,0.95243,0.04757,0.005273,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,paraphrasing,5,5,0.957703,0.839262,0.160738,0.118442,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,reordering,5,5,0.957703,0.950152,0.049848,0.007551,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,surface_noise,5,5,0.957703,0.954885,0.045115,0.002818,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,context_injection,5,5,0.94728,0.925427,0.074573,0.021854,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,formatting_changes,5,5,0.94728,0.91694,0.08306,0.030341,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,paraphrasing,5,5,0.94728,0.916738,0.083262,0.030542,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,reordering,5,5,0.94728,0.933546,0.066454,0.013734,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,surface_noise,5,5,0.94728,0.936735,0.063265,0.010545,sentence-transformers/all-MiniLM-L6-v2
code_generation_142,code_generation,context_injection,5,5,0.904856,0.918995,0.081005,-0.014139,sentence-transformers/all-MiniLM-L6-v2
code_generation_142,code_generation,formatting_changes,5,5,0.904856,0.931127,0.068873,-0.026271,sentence-transformers/all-MiniLM-L6-v2
code_generation_142,code_generation,paraphrasing,5,5,0.904856,0.912909,0.087091,-0.008053,sentence-transformers/all-MiniLM-L6-v2
code_generation_142,code_generation,reordering,5,5,0.904856,0.912738,0.087262,-0.007882,sentence-transformers/all-MiniLM-L6-v2
code_generation_142,code_generation,surface_noise,5,5,0.904856,0.925429,0.074571,-0.020573,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,context_injection,5,5,0.965293,0.960311,0.039689,0.004981,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,formatting_changes,5,5,0.965293,0.95878,0.04122,0.006513,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,paraphrasing,5,5,0.965293,0.944721,0.055279,0.020572,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,reordering,5,5,0.965293,0.962005,0.037995,0.003288,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,surface_noise,5,5,0.965293,0.95637,0.04363,0.008922,sentence-transformers/all-MiniLM-L6-v2
code_generation_145,code_generation,context_injection,5,5,0.921702,0.920961,0.079039,0.000741,sentence-transformers/all-MiniLM-L6-v2
code_generation_145,code_generation,formatting_changes,5,5,0.921702,0.922426,0.077574,-0.000724,sentence-transformers/all-MiniLM-L6-v2
code_generation_145,code_generation,paraphrasing,5,5,0.921702,0.918273,0.081727,0.00343,sentence-transformers/all-MiniLM-L6-v2
code_generation_145,code_generation,reordering,5,5,0.921702,0.921328,0.078672,0.000374,sentence-transformers/all-MiniLM-L6-v2
code_generation_145,code_generation,surface_noise,5,5,0.921702,0.93298,0.06702,-0.011278,sentence-transformers/all-MiniLM-L6-v2
code_generation_146,code_generation,context_injection,5,5,0.91094,0.919014,0.080986,-0.008074,sentence-transformers/all-MiniLM-L6-v2
code_generation_146,code_generation,formatting_changes,5,5,0.91094,0.93711,0.06289,-0.026169,sentence-transformers/all-MiniLM-L6-v2
code_generation_146,code_generation,paraphrasing,5,5,0.91094,0.927836,0.072164,-0.016896,sentence-transformers/all-MiniLM-L6-v2
code_generation_146,code_generation,reordering,5,5,0.91094,0.926774,0.073226,-0.015834,sentence-transformers/all-MiniLM-L6-v2
code_generation_146,code_generation,surface_noise,5,5,0.91094,0.936652,0.063348,-0.025712,sentence-transformers/all-MiniLM-L6-v2
code_generation_15,code_generation,context_injection,5,5,0.98589,0.965958,0.034042,0.019932,sentence-transformers/all-MiniLM-L6-v2
code_generation_15,code_generation,formatting_changes,5,5,0.98589,0.976483,0.023517,0.009407,sentence-transformers/all-MiniLM-L6-v2
