CMD: C:\Users\wenfeng.lin\AppData\Local\Programs\Python\Python313\python.exe D:\pioneer_kayley\Pioneer\src\11_generate_rq1b_perturbed_outputs_qwen.py
ENVS: API_KEY=set
Submitting 250 jobs with workers=1.
[1/250] factual_qa_8049 paraphrasing sample 1
[2/250] factual_qa_8049 paraphrasing sample 2
[3/250] factual_qa_8049 paraphrasing sample 3
[4/250] factual_qa_8049 paraphrasing sample 4
[5/250] factual_qa_8049 paraphrasing sample 5
[6/250] factual_qa_8049 reordering sample 1
[7/250] factual_qa_8049 reordering sample 2
[8/250] factual_qa_8049 reordering sample 3
[9/250] factual_qa_8049 reordering sample 4
[10/250] factual_qa_8049 reordering sample 5
[11/250] factual_qa_8049 formatting_changes sample 1
[12/250] factual_qa_8049 formatting_changes sample 2
[13/250] factual_qa_8049 formatting_changes sample 3
[14/250] factual_qa_8049 formatting_changes sample 4
[15/250] factual_qa_8049 formatting_changes sample 5
[16/250] factual_qa_8049 context_injection sample 1
[17/250] factual_qa_8049 context_injection sample 2
[18/250] factual_qa_8049 context_injection sample 3
[19/250] factual_qa_8049 context_injection sample 4
[20/250] factual_qa_8049 context_injection sample 5
[21/250] factual_qa_8049 surface_noise sample 1
[22/250] factual_qa_8049 surface_noise sample 2
[23/250] factual_qa_8049 surface_noise sample 3
[24/250] factual_qa_8049 surface_noise sample 4
[25/250] factual_qa_8049 surface_noise sample 5
[26/250] factual_qa_7048 paraphrasing sample 1
[27/250] factual_qa_7048 paraphrasing sample 2
[28/250] factual_qa_7048 paraphrasing sample 3
[29/250] factual_qa_7048 paraphrasing sample 4
[30/250] factual_qa_7048 paraphrasing sample 5
[31/250] factual_qa_7048 reordering sample 1
[32/250] factual_qa_7048 reordering sample 2
[33/250] factual_qa_7048 reordering sample 3
[34/250] factual_qa_7048 reordering sample 4
[35/250] factual_qa_7048 reordering sample 5
[36/250] factual_qa_7048 formatting_changes sample 1
[37/250] factual_qa_7048 formatting_changes sample 2
[38/250] factual_qa_7048 formatting_changes sample 3
[39/250] factual_qa_7048 formatting_changes sample 4
[40/250] factual_qa_7048 formatting_changes sample 5
[41/250] factual_qa_7048 context_injection sample 1
[42/250] factual_qa_7048 context_injection sample 2
[43/250] factual_qa_7048 context_injection sample 3
[44/250] factual_qa_7048 context_injection sample 4
[45/250] factual_qa_7048 context_injection sample 5
[46/250] factual_qa_7048 surface_noise sample 1
