item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric
factual_qa_10038,factual_qa,paraphrasing,5,5,0.971659,0.818978,0.181022,0.152682,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10197,factual_qa,paraphrasing,5,5,1.0,0.953897,0.046103,0.046103,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10550,factual_qa,paraphrasing,5,5,1.0,0.877549,0.122451,0.122451,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10779,factual_qa,paraphrasing,5,5,0.996132,0.97754,0.02246,0.018592,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,paraphrasing,5,5,1.0,0.964853,0.035147,0.035147,sentence-transformers/all-MiniLM-L6-v2
factual_qa_11075,factual_qa,paraphrasing,5,5,1.0,0.972786,0.027214,0.027214,sentence-transformers/all-MiniLM-L6-v2
factual_qa_11262,factual_qa,paraphrasing,5,5,0.990527,0.974658,0.025342,0.015869,sentence-transformers/all-MiniLM-L6-v2
factual_qa_11313,factual_qa,paraphrasing,5,5,0.910992,0.842205,0.157795,0.068787,sentence-transformers/all-MiniLM-L6-v2
factual_qa_11559,factual_qa,paraphrasing,5,5,0.933386,0.877576,0.122424,0.05581,sentence-transformers/all-MiniLM-L6-v2
factual_qa_11773,factual_qa,paraphrasing,5,5,0.98397,0.793834,0.206166,0.190135,sentence-transformers/all-MiniLM-L6-v2
factual_qa_1292,factual_qa,paraphrasing,5,5,0.991385,0.976102,0.023898,0.015284,sentence-transformers/all-MiniLM-L6-v2
factual_qa_1302,factual_qa,paraphrasing,5,5,0.969545,0.898852,0.101148,0.070693,sentence-transformers/all-MiniLM-L6-v2
factual_qa_1601,factual_qa,paraphrasing,5,5,0.938179,0.644757,0.355243,0.293422,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2022,factual_qa,paraphrasing,5,5,0.996261,0.903126,0.096874,0.093135,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,paraphrasing,5,5,0.820532,0.796989,0.203011,0.023543,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2682,factual_qa,paraphrasing,5,5,0.999706,0.999706,0.000294,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3095,factual_qa,paraphrasing,5,5,0.924616,0.900292,0.099708,0.024324,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3135,factual_qa,paraphrasing,5,5,0.990019,0.93374,0.06626,0.056279,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3339,factual_qa,paraphrasing,5,5,0.6635,0.295072,0.704928,0.368429,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,paraphrasing,5,5,0.964845,0.947582,0.052418,0.017263,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3740,factual_qa,paraphrasing,5,5,1.0,1.0,0.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3976,factual_qa,paraphrasing,5,5,1.0,0.979751,0.020249,0.020249,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,paraphrasing,5,5,0.917321,0.921444,0.078556,-0.004124,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4277,factual_qa,paraphrasing,5,5,0.880114,0.799279,0.200721,0.080835,sentence-transformers/all-MiniLM-L6-v2
factual_qa_5271,factual_qa,paraphrasing,5,5,0.958352,0.874728,0.125272,0.083625,sentence-transformers/all-MiniLM-L6-v2
factual_qa_5359,factual_qa,paraphrasing,5,5,0.98315,0.931522,0.068478,0.051628,sentence-transformers/all-MiniLM-L6-v2
factual_qa_5525,factual_qa,paraphrasing,5,5,0.846274,0.647632,0.352368,0.198642,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,paraphrasing,5,5,0.984346,0.844505,0.155495,0.139841,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6442,factual_qa,paraphrasing,5,5,0.919349,0.896646,0.103354,0.022703,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,paraphrasing,5,5,0.99883,0.961607,0.038393,0.037223,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6578,factual_qa,paraphrasing,5,5,0.888957,0.709123,0.290877,0.179833,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6819,factual_qa,paraphrasing,5,5,0.899028,0.761445,0.238555,0.137583,sentence-transformers/all-MiniLM-L6-v2
factual_qa_684,factual_qa,paraphrasing,5,5,0.881495,0.635594,0.364406,0.245901,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7048,factual_qa,paraphrasing,5,5,0.979069,0.933706,0.066294,0.045363,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7187,factual_qa,paraphrasing,5,5,0.862043,0.799367,0.200633,0.062675,sentence-transformers/all-MiniLM-L6-v2
factual_qa_720,factual_qa,paraphrasing,5,5,0.990076,0.865376,0.134624,0.1247,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,paraphrasing,5,5,0.883484,0.782288,0.217712,0.101196,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7699,factual_qa,paraphrasing,5,5,0.905128,0.944274,0.055726,-0.039146,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7854,factual_qa,paraphrasing,5,5,1.0,0.977964,0.022036,0.022036,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7989,factual_qa,paraphrasing,5,5,0.988119,0.882175,0.117825,0.105944,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,paraphrasing,5,5,0.824901,0.75272,0.24728,0.072181,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8049,factual_qa,paraphrasing,5,5,1.0,0.901442,0.098558,0.098558,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8077,factual_qa,paraphrasing,5,5,1.0,0.90393,0.09607,0.09607,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,paraphrasing,5,5,0.995453,0.95554,0.04446,0.039913,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8302,factual_qa,paraphrasing,5,5,0.980612,0.95747,0.04253,0.023141,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8326,factual_qa,paraphrasing,5,5,0.999612,0.803657,0.196343,0.195955,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,paraphrasing,5,5,1.0,0.701431,0.298569,0.298569,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8989,factual_qa,paraphrasing,5,5,0.773849,0.807094,0.192906,-0.033245,sentence-transformers/all-MiniLM-L6-v2
factual_qa_919,factual_qa,paraphrasing,5,5,1.0,0.887479,0.112521,0.112521,sentence-transformers/all-MiniLM-L6-v2
factual_qa_9228,factual_qa,paraphrasing,5,5,0.919478,0.917664,0.082336,0.001814,sentence-transformers/all-MiniLM-L6-v2
