item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,original_performance,perturbed_performance,absolute_performance_change,pdr,performance_dropped
code_generation_102,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_102,code_generation,formatting_changes,5,5,1.000000,0.800000,0.200000,0.200000,true
code_generation_102,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_102,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_102,code_generation,surface_noise,5,5,1.000000,0.600000,0.400000,0.400000,true
code_generation_104,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_104,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_104,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_104,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_104,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_109,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_109,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_109,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_109,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_109,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_11,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_11,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_11,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_11,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_11,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_110,code_generation,context_injection,5,5,0.800000,1.000000,-0.200000,-0.250000,false
code_generation_110,code_generation,formatting_changes,5,5,0.800000,0.800000,0.000000,0.000000,false
code_generation_110,code_generation,paraphrasing,5,5,0.800000,1.000000,-0.200000,-0.250000,false
code_generation_110,code_generation,reordering,5,5,0.800000,1.000000,-0.200000,-0.250000,false
code_generation_110,code_generation,surface_noise,5,5,0.800000,0.000000,0.800000,1.000000,true
code_generation_112,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_112,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_112,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
