CMD: C:\Users\wenfeng.lin\AppData\Local\Programs\Python\Python313\python.exe D:\pioneer_kayley\Pioneer\src\11_generate_rq1b_perturbed_outputs_qwen.py
ENVS: API_KEY=set
Found 43 existing rows in D:\pioneer_kayley\Pioneer\tmp_parallel\output_11_math_reasoning_chunk3.csv; resuming.
[1/250] math_reasoning_4880 paraphrasing sample 1 skipped
[2/250] math_reasoning_4880 paraphrasing sample 2 skipped
[3/250] math_reasoning_4880 paraphrasing sample 3 skipped
[4/250] math_reasoning_4880 paraphrasing sample 4 skipped
[5/250] math_reasoning_4880 paraphrasing sample 5 skipped
[6/250] math_reasoning_4880 reordering sample 1 skipped
[7/250] math_reasoning_4880 reordering sample 2 skipped
[8/250] math_reasoning_4880 reordering sample 3 skipped
[9/250] math_reasoning_4880 reordering sample 4 skipped
[10/250] math_reasoning_4880 reordering sample 5 skipped
[11/250] math_reasoning_4880 formatting_changes sample 1 skipped
[12/250] math_reasoning_4880 formatting_changes sample 2 skipped
[13/250] math_reasoning_4880 formatting_changes sample 3 skipped
[14/250] math_reasoning_4880 formatting_changes sample 4 skipped
[15/250] math_reasoning_4880 formatting_changes sample 5 skipped
[16/250] math_reasoning_4880 context_injection sample 1 skipped
[17/250] math_reasoning_4880 context_injection sample 2 skipped
[18/250] math_reasoning_4880 context_injection sample 3 skipped
[19/250] math_reasoning_4880 context_injection sample 4 skipped
[20/250] math_reasoning_4880 context_injection sample 5 skipped
[21/250] math_reasoning_4880 surface_noise sample 1 skipped
[22/250] math_reasoning_4880 surface_noise sample 2 skipped
[23/250] math_reasoning_4880 surface_noise sample 3 skipped
[24/250] math_reasoning_4880 surface_noise sample 4 skipped
[25/250] math_reasoning_4880 surface_noise sample 5 skipped
[26/250] math_reasoning_3374 paraphrasing sample 1 skipped
[27/250] math_reasoning_3374 paraphrasing sample 2 skipped
[28/250] math_reasoning_3374 paraphrasing sample 3 skipped
[29/250] math_reasoning_3374 paraphrasing sample 4 skipped
[30/250] math_reasoning_3374 paraphrasing sample 5 skipped
[31/250] math_reasoning_3374 reordering sample 1 skipped
[32/250] math_reasoning_3374 reordering sample 2 skipped
[33/250] math_reasoning_3374 reordering sample 3 skipped
[34/250] math_reasoning_3374 reordering sample 4 skipped
[35/250] math_reasoning_3374 reordering sample 5 skipped
[36/250] math_reasoning_3374 formatting_changes sample 1 skipped
[37/250] math_reasoning_3374 formatting_changes sample 2 skipped
[38/250] math_reasoning_3374 formatting_changes sample 3 skipped
[39/250] math_reasoning_3374 formatting_changes sample 4 skipped
[40/250] math_reasoning_3374 formatting_changes sample 5 skipped
[41/250] math_reasoning_3374 context_injection sample 1 skipped
[42/250] math_reasoning_3374 context_injection sample 2 skipped
[43/250] math_reasoning_3374 context_injection sample 3 skipped
Submitting 207 jobs with workers=1.
[44/250] math_reasoning_3374 context_injection sample 4
[45/250] math_reasoning_3374 context_injection sample 5
[46/250] math_reasoning_3374 surface_noise sample 1
[47/250] math_reasoning_3374 surface_noise sample 2
[48/250] math_reasoning_3374 surface_noise sample 3
[49/250] math_reasoning_3374 surface_noise sample 4
[50/250] math_reasoning_3374 surface_noise sample 5
[51/250] math_reasoning_9599 paraphrasing sample 1
[52/250] math_reasoning_9599 paraphrasing sample 2
[53/250] math_reasoning_9599 paraphrasing sample 3
[54/250] math_reasoning_9599 paraphrasing sample 4
[55/250] math_reasoning_9599 paraphrasing sample 5
[56/250] math_reasoning_9599 reordering sample 1
[57/250] math_reasoning_9599 reordering sample 2
[58/250] math_reasoning_9599 reordering sample 3
[59/250] math_reasoning_9599 reordering sample 4
[60/250] math_reasoning_9599 reordering sample 5
[61/250] math_reasoning_9599 formatting_changes sample 1
[62/250] math_reasoning_9599 formatting_changes sample 2
[63/250] math_reasoning_9599 formatting_changes sample 3
[64/250] math_reasoning_9599 formatting_changes sample 4
[65/250] math_reasoning_9599 formatting_changes sample 5
[66/250] math_reasoning_9599 context_injection sample 1
[67/250] math_reasoning_9599 context_injection sample 2
[68/250] math_reasoning_9599 context_injection sample 3
[69/250] math_reasoning_9599 context_injection sample 4
[70/250] math_reasoning_9599 context_injection sample 5
[71/250] math_reasoning_9599 surface_noise sample 1
[72/250] math_reasoning_9599 surface_noise sample 2
[73/250] math_reasoning_9599 surface_noise sample 3
[74/250] math_reasoning_9599 surface_noise sample 4
[75/250] math_reasoning_9599 surface_noise sample 5
[76/250] math_reasoning_5281 paraphrasing sample 1
[77/250] math_reasoning_5281 paraphrasing sample 2
[78/250] math_reasoning_5281 paraphrasing sample 3
[79/250] math_reasoning_5281 paraphrasing sample 4
[80/250] math_reasoning_5281 paraphrasing sample 5
[81/250] math_reasoning_5281 reordering sample 1
[82/250] math_reasoning_5281 reordering sample 2
[83/250] math_reasoning_5281 reordering sample 3
[84/250] math_reasoning_5281 reordering sample 4
[85/250] math_reasoning_5281 reordering sample 5
[86/250] math_reasoning_5281 formatting_changes sample 1
[87/250] math_reasoning_5281 formatting_changes sample 2
[88/250] math_reasoning_5281 formatting_changes sample 3
[89/250] math_reasoning_5281 formatting_changes sample 4
[90/250] math_reasoning_5281 formatting_changes sample 5
[91/250] math_reasoning_5281 context_injection sample 1
[92/250] math_reasoning_5281 context_injection sample 2
[93/250] math_reasoning_5281 context_injection sample 3
[94/250] math_reasoning_5281 context_injection sample 4
[95/250] math_reasoning_5281 context_injection sample 5
[96/250] math_reasoning_5281 surface_noise sample 1
[97/250] math_reasoning_5281 surface_noise sample 2
[98/250] math_reasoning_5281 surface_noise sample 3
[99/250] math_reasoning_5281 surface_noise sample 4
[100/250] math_reasoning_5281 surface_noise sample 5
[101/250] math_reasoning_5408 paraphrasing sample 1
[102/250] math_reasoning_5408 paraphrasing sample 2
[103/250] math_reasoning_5408 paraphrasing sample 3
[104/250] math_reasoning_5408 paraphrasing sample 4
[105/250] math_reasoning_5408 paraphrasing sample 5
[106/250] math_reasoning_5408 reordering sample 1
[107/250] math_reasoning_5408 reordering sample 2
[108/250] math_reasoning_5408 reordering sample 3
[109/250] math_reasoning_5408 reordering sample 4
[110/250] math_reasoning_5408 reordering sample 5
[111/250] math_reasoning_5408 formatting_changes sample 1
[112/250] math_reasoning_5408 formatting_changes sample 2
[113/250] math_reasoning_5408 formatting_changes sample 3
[114/250] math_reasoning_5408 formatting_changes sample 4
[115/250] math_reasoning_5408 formatting_changes sample 5
[116/250] math_reasoning_5408 context_injection sample 1
[117/250] math_reasoning_5408 context_injection sample 2
[118/250] math_reasoning_5408 context_injection sample 3
[119/250] math_reasoning_5408 context_injection sample 4
[120/250] math_reasoning_5408 context_injection sample 5
[121/250] math_reasoning_5408 surface_noise sample 1
[122/250] math_reasoning_5408 surface_noise sample 2
[123/250] math_reasoning_5408 surface_noise sample 3
[124/250] math_reasoning_5408 surface_noise sample 4
[125/250] math_reasoning_5408 surface_noise sample 5
[126/250] math_reasoning_2652 paraphrasing sample 1
[127/250] math_reasoning_2652 paraphrasing sample 2
[128/250] math_reasoning_2652 paraphrasing sample 3
[129/250] math_reasoning_2652 paraphrasing sample 4
[130/250] math_reasoning_2652 paraphrasing sample 5
[131/250] math_reasoning_2652 reordering sample 1
[132/250] math_reasoning_2652 reordering sample 2
[133/250] math_reasoning_2652 reordering sample 3
[134/250] math_reasoning_2652 reordering sample 4
[135/250] math_reasoning_2652 reordering sample 5
[136/250] math_reasoning_2652 formatting_changes sample 1
[137/250] math_reasoning_2652 formatting_changes sample 2
[138/250] math_reasoning_2652 formatting_changes sample 3
[139/250] math_reasoning_2652 formatting_changes sample 4
[140/250] math_reasoning_2652 formatting_changes sample 5
[141/250] math_reasoning_2652 context_injection sample 1
[142/250] math_reasoning_2652 context_injection sample 2
[143/250] math_reasoning_2652 context_injection sample 3
[144/250] math_reasoning_2652 context_injection sample 4
[145/250] math_reasoning_2652 context_injection sample 5
[146/250] math_reasoning_2652 surface_noise sample 1
[147/250] math_reasoning_2652 surface_noise sample 2
[148/250] math_reasoning_2652 surface_noise sample 3
