item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric,problem_content_recall,problem_content_jaccard,prompt_content_recall,math_token_recall,number_recall,problem_length_delta_tokens,original_mean_output_length_tokens,original_answer_token_f1,original_answer_containment,paraphrase_mean_output_length_tokens,paraphrase_answer_token_f1,paraphrase_answer_containment,output_length_delta_tokens,answer_token_f1_delta,answer_containment_delta
math_reasoning_10051,math_reasoning,paraphrasing,5,5,0.936568,0.846272,0.153728,0.090297,sentence-transformers/all-MiniLM-L6-v2,0.8928571428571429,0.8064516129032258,0.9117647058823529,1.0,1.0,-4,343.0,0.006662013818885447,1.0,491.4,0.005519845272503608,1.0,148.39999999999998,-0.001142168546381839,0.0
math_reasoning_10521,math_reasoning,paraphrasing,5,5,0.952218,0.915496,0.084504,0.036723,sentence-transformers/all-MiniLM-L6-v2,0.6923076923076923,0.45,0.7894736842105263,1.0,1.0,15,263.4,0.008121363487164523,1.0,203.6,0.01000016382573313,1.0,-59.79999999999998,0.001878800338568607,0.0
math_reasoning_10586,math_reasoning,paraphrasing,5,5,0.944529,0.902901,0.097099,0.041628,sentence-transformers/all-MiniLM-L6-v2,0.7,0.5384615384615384,0.7391304347826086,1.0,1.0,-2,253.6,0.008277862948147887,1.0,194.2,0.010480009407391334,1.0,-59.400000000000006,0.0022021464592434474,0.0
math_reasoning_10682,math_reasoning,paraphrasing,5,5,0.96521,0.851804,0.148196,0.113405,sentence-transformers/all-MiniLM-L6-v2,0.8846153846153846,0.6571428571428571,0.9333333333333333,0.9166666666666666,1.0,12,194.4,0.020399122582659013,1.0,188.0,0.021109165475532536,1.0,-6.400000000000006,0.0007100428928735227,0.0
math_reasoning_10926,math_reasoning,paraphrasing,5,5,0.948786,0.926146,0.073854,0.02264,sentence-transformers/all-MiniLM-L6-v2,0.46153846153846156,0.2857142857142857,0.631578947368421,1.0,1.0,10,86.6,0.022873927680129226,1.0,95.8,0.020663292989469253,1.0,9.200000000000003,-0.002210634690659973,0.0
math_reasoning_11055,math_reasoning,paraphrasing,5,5,0.956668,0.940166,0.059834,0.016502,sentence-transformers/all-MiniLM-L6-v2,0.8333333333333334,0.625,0.8888888888888888,1.0,1.0,7,319.6,0.012503961403251055,1.0,264.0,0.011346831521588803,0.8,-55.60000000000002,-0.0011571298816622517,-0.19999999999999996
math_reasoning_1121,math_reasoning,paraphrasing,5,5,0.955122,0.874069,0.125931,0.081053,sentence-transformers/all-MiniLM-L6-v2,0.5555555555555556,0.40540540540540543,0.6363636363636364,1.0,1.0,-5,888.8,0.009545225924547754,1.0,957.2,0.008538907910807903,1.0,68.40000000000009,-0.0010063180137398504,0.0
math_reasoning_11297,math_reasoning,paraphrasing,5,5,0.980055,0.902259,0.097741,0.077796,sentence-transformers/all-MiniLM-L6-v2,0.9523809523809523,0.8333333333333334,0.9565217391304348,1.0,1.0,5,100.0,0.019851678080895985,1.0,139.4,0.015025736776659407,1.0,39.400000000000006,-0.004825941304236579,0.0
math_reasoning_11759,math_reasoning,paraphrasing,5,5,0.954365,0.858712,0.141288,0.095653,sentence-transformers/all-MiniLM-L6-v2,0.8181818181818182,0.45,0.8823529411764706,1.0,1.0,11,230.8,0.042517273201368236,1.0,273.4,0.03683889841308169,1.0,42.599999999999966,-0.005678374788286547,0.0
math_reasoning_1600,math_reasoning,paraphrasing,5,5,0.924134,0.90506,0.09494,0.019074,sentence-transformers/all-MiniLM-L6-v2,0.9230769230769231,0.8372093023255814,0.9333333333333333,1.0,1.0,3,148.8,0.013564770364770365,1.0,215.2,0.009363959708946257,1.0,66.39999999999998,-0.004200810655824108,0.0
math_reasoning_1650,math_reasoning,paraphrasing,5,5,0.984701,0.951181,0.048819,0.03352,sentence-transformers/all-MiniLM-L6-v2,0.7692307692307693,0.5263157894736842,0.8421052631578947,1.0,1.0,6,630.0,0.0035540467265896595,1.0,609.0,0.0037501760210293597,1.0,-21.0,0.00019612929443970023,0.0
math_reasoning_190,math_reasoning,paraphrasing,5,5,0.972824,0.975658,0.024342,-0.002834,sentence-transformers/all-MiniLM-L6-v2,0.7692307692307693,0.45454545454545453,0.8421052631578947,1.0,1.0,13,1290.2,0.0031087880214223373,1.0,1043.6,0.0038340665165257797,1.0,-246.60000000000014,0.0007252784951034424,0.0
math_reasoning_2166,math_reasoning,paraphrasing,5,5,0.841558,0.660368,0.339632,0.18119,sentence-transformers/all-MiniLM-L6-v2,0.8095238095238095,0.4857142857142857,0.8518518518518519,1.0,1.0,12,3193.2,0.00046491707448170197,0.8,3145.8,9.8159509202454e-05,0.4,-47.399999999999636,-0.000366757565279248,-0.4
math_reasoning_2652,math_reasoning,paraphrasing,5,5,0.934077,0.872019,0.127981,0.062058,sentence-transformers/all-MiniLM-L6-v2,0.8125,0.65,0.8636363636363636,1.0,1.0,2,905.6,0.002232250981033679,1.0,1119.8,0.0018146265251742428,1.0,214.19999999999993,-0.00041762445585943626,0.0
