item_id,task_type,dataset_name,n_outputs,n_pairs,mean_within_prompt_similarity,sampling_noise_drift,similarity_metric
code_generation_102,code_generation,bigcode/humanevalpack,5,10,0.907713,0.092287,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,bigcode/humanevalpack,5,10,0.882529,0.117471,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,bigcode/humanevalpack,5,10,0.905735,0.094265,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,bigcode/humanevalpack,5,10,0.926704,0.073296,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,bigcode/humanevalpack,5,10,0.82822,0.17178,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,bigcode/humanevalpack,5,10,0.899047,0.100953,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,bigcode/humanevalpack,5,10,0.797472,0.202528,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,bigcode/humanevalpack,5,10,0.940768,0.059232,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,bigcode/humanevalpack,5,10,0.928678,0.071322,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,bigcode/humanevalpack,5,10,0.914653,0.085347,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,bigcode/humanevalpack,5,10,0.840089,0.159911,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,bigcode/humanevalpack,5,10,0.922637,0.077363,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,bigcode/humanevalpack,5,10,0.936109,0.063891,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,bigcode/humanevalpack,5,10,0.86567,0.13433,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,bigcode/humanevalpack,5,10,0.907329,0.092671,sentence-transformers/all-MiniLM-L6-v2
code_generation_142,code_generation,bigcode/humanevalpack,5,10,0.961107,0.038893,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,bigcode/humanevalpack,5,10,0.909354,0.090646,sentence-transformers/all-MiniLM-L6-v2
code_generation_145,code_generation,bigcode/humanevalpack,5,10,0.877261,0.122739,sentence-transformers/all-MiniLM-L6-v2
code_generation_146,code_generation,bigcode/humanevalpack,5,10,0.790766,0.209234,sentence-transformers/all-MiniLM-L6-v2
code_generation_15,code_generation,bigcode/humanevalpack,5,10,0.892471,0.107529,sentence-transformers/all-MiniLM-L6-v2
code_generation_153,code_generation,bigcode/humanevalpack,5,10,0.871972,0.128028,sentence-transformers/all-MiniLM-L6-v2
code_generation_157,code_generation,bigcode/humanevalpack,5,10,0.930248,0.069752,sentence-transformers/all-MiniLM-L6-v2
code_generation_17,code_generation,bigcode/humanevalpack,5,10,0.842521,0.157479,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,bigcode/humanevalpack,5,10,0.917439,0.082561,sentence-transformers/all-MiniLM-L6-v2
code_generation_24,code_generation,bigcode/humanevalpack,5,10,0.91502,0.08498,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,bigcode/humanevalpack,5,10,0.942017,0.057983,sentence-transformers/all-MiniLM-L6-v2
code_generation_26,code_generation,bigcode/humanevalpack,5,10,0.869323,0.130677,sentence-transformers/all-MiniLM-L6-v2
code_generation_28,code_generation,bigcode/humanevalpack,5,10,0.932857,0.067143,sentence-transformers/all-MiniLM-L6-v2
code_generation_31,code_generation,bigcode/humanevalpack,5,10,0.927892,0.072108,sentence-transformers/all-MiniLM-L6-v2
code_generation_32,code_generation,bigcode/humanevalpack,5,10,0.856113,0.143887,sentence-transformers/all-MiniLM-L6-v2
code_generation_33,code_generation,bigcode/humanevalpack,5,10,0.872982,0.127018,sentence-transformers/all-MiniLM-L6-v2
code_generation_34,code_generation,bigcode/humanevalpack,5,10,0.916448,0.083552,sentence-transformers/all-MiniLM-L6-v2
code_generation_35,code_generation,bigcode/humanevalpack,5,10,0.91849,0.08151,sentence-transformers/all-MiniLM-L6-v2
code_generation_37,code_generation,bigcode/humanevalpack,5,10,0.907802,0.092198,sentence-transformers/all-MiniLM-L6-v2
code_generation_38,code_generation,bigcode/humanevalpack,5,10,0.895576,0.104424,sentence-transformers/all-MiniLM-L6-v2
code_generation_40,code_generation,bigcode/humanevalpack,5,10,0.88018,0.11982,sentence-transformers/all-MiniLM-L6-v2
code_generation_44,code_generation,bigcode/humanevalpack,5,10,0.88712,0.11288,sentence-transformers/all-MiniLM-L6-v2
code_generation_48,code_generation,bigcode/humanevalpack,5,10,0.901971,0.098029,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,bigcode/humanevalpack,5,10,0.836041,0.163959,sentence-transformers/all-MiniLM-L6-v2
code_generation_60,code_generation,bigcode/humanevalpack,5,10,0.93176,0.06824,sentence-transformers/all-MiniLM-L6-v2
code_generation_64,code_generation,bigcode/humanevalpack,5,10,0.921844,0.078156,sentence-transformers/all-MiniLM-L6-v2
code_generation_68,code_generation,bigcode/humanevalpack,5,10,0.871857,0.128143,sentence-transformers/all-MiniLM-L6-v2
code_generation_7,code_generation,bigcode/humanevalpack,5,10,0.952432,0.047568,sentence-transformers/all-MiniLM-L6-v2
code_generation_71,code_generation,bigcode/humanevalpack,5,10,0.917516,0.082484,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,bigcode/humanevalpack,5,10,0.875771,0.124229,sentence-transformers/all-MiniLM-L6-v2
code_generation_78,code_generation,bigcode/humanevalpack,5,10,0.921842,0.078158,sentence-transformers/all-MiniLM-L6-v2
code_generation_82,code_generation,bigcode/humanevalpack,5,10,0.917352,0.082648,sentence-transformers/all-MiniLM-L6-v2
code_generation_83,code_generation,bigcode/humanevalpack,5,10,0.84103,0.15897,sentence-transformers/all-MiniLM-L6-v2
code_generation_85,code_generation,bigcode/humanevalpack,5,10,0.840261,0.159739,sentence-transformers/all-MiniLM-L6-v2
code_generation_92,code_generation,bigcode/humanevalpack,5,10,0.875805,0.124195,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10038,factual_qa,rajpurkar/squad_v2,5,10,0.971659,0.028341,sentence-transformers/all-MiniLM-L6-v2
