item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,original_performance,perturbed_performance,absolute_performance_change,pdr,performance_dropped,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric
code_generation_102,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.962220,0.945800,0.054200,0.016420,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.962220,0.927209,0.072791,0.035011,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.962220,0.944579,0.055421,0.017641,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.962220,0.954969,0.045031,0.007252,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.962220,0.954536,0.045464,0.007684,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.970505,0.963000,0.037000,0.007505,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.970505,0.969843,0.030157,0.000662,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.970505,0.958824,0.041176,0.011681,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.970505,0.955933,0.044067,0.014572,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.970505,0.953584,0.046416,0.016921,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.953849,0.959277,0.040723,-0.005428,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.953849,0.953595,0.046405,0.000255,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.953849,0.958252,0.041748,-0.004403,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.953849,0.953433,0.046567,0.000416,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.953849,0.953376,0.046624,0.000473,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.919763,0.939775,0.060225,-0.020011,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.919763,0.937380,0.062620,-0.017617,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,paraphrasing,5,5,1.000000,0.600000,0.400000,0.400000,true,0.919763,0.909105,0.090895,0.010658,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.919763,0.938644,0.061356,-0.018881,sentence-transformers/all-MiniLM-L6-v2
