item_id,task_type,perturbation_type,similarity,retention_probability,is_correct_simulated,similarity_metric
code_generation_102,code_generation,context_injection,0.97937,0.881946164041846,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,formatting_changes,0.989342,0.8864565521064245,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,paraphrasing,0.973091,0.878885837175936,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,reordering,0.986123,0.8850459221548568,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,surface_noise,0.980755,0.8825977685584316,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,context_injection,0.92053,0.8453254556545344,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,formatting_changes,0.869755,0.7959409259744987,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,paraphrasing,0.918932,0.8440505910130047,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,reordering,0.635051,0.3767495802168044,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,surface_noise,0.906927,0.8339262108725718,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,context_injection,0.785131,0.6683904330014943,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,formatting_changes,0.966641,0.8755542220198542,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,paraphrasing,0.974111,0.8793950218739974,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,reordering,0.896993,0.8247884819305855,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise,0.975675,0.8801666100143561,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,context_injection,0.92065,0.845420516732174,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,formatting_changes,0.923023,0.8472811727253775,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,paraphrasing,0.906481,0.8335310171852703,0,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,reordering,0.914832,0.8407025234348757,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise,0.926077,0.8496226357118439,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,context_injection,0.932651,0.8544645207868444,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,formatting_changes,0.924443,0.8483772567668606,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,paraphrasing,0.897963,0.8257120770542006,1,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,reordering,0.91582,0.8415195657732923,1,sentence-transformers/all-MiniLM-L6-v2
