task_type,perturbation_type,n_items,mean_noise_corrected_drift,std_noise_corrected_drift,similarity_metric
code_generation,context_injection,50,0.028956,0.064039,sentence-transformers/all-MiniLM-L6-v2
code_generation,formatting_changes,50,0.008353,0.033879,sentence-transformers/all-MiniLM-L6-v2
code_generation,paraphrasing,50,0.042085,0.048706,sentence-transformers/all-MiniLM-L6-v2
code_generation,reordering,50,0.049225,0.089001,sentence-transformers/all-MiniLM-L6-v2
code_generation,surface_noise,50,0.016058,0.058754,sentence-transformers/all-MiniLM-L6-v2
factual_qa,context_injection,50,0.019619,0.063642,sentence-transformers/all-MiniLM-L6-v2
factual_qa,formatting_changes,50,0.005382,0.022449,sentence-transformers/all-MiniLM-L6-v2
factual_qa,paraphrasing,50,0.267907,0.168123,sentence-transformers/all-MiniLM-L6-v2
factual_qa,reordering,50,0.063605,0.115752,sentence-transformers/all-MiniLM-L6-v2
factual_qa,surface_noise,50,-0.000255,0.017064,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,context_injection,50,0.014684,0.038562,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,formatting_changes,50,0.00582,0.027392,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,paraphrasing,50,0.067887,0.086017,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,reordering,50,0.002416,0.018625,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,surface_noise,50,0.00206,0.015018,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,context_injection,50,0.026938,0.076952,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,formatting_changes,50,0.024719,0.103355,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,paraphrasing,50,0.181581,0.247332,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,reordering,50,0.04883,0.107159,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,surface_noise,50,0.022959,0.071737,sentence-transformers/all-MiniLM-L6-v2
