item_id,task_type,dataset_name,source_index,perturbation_type,construction_method,method_reference,validation_check,original_prompt,perturbed_prompt
factual_qa_8554,factual_qa,mandarjoshi/trivia_qa,8554,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,Which Chilean socialist leader was deposed and killed by General Pinochet during a U.S. backed coup in 1973?,backed coup in 1973? Which Chilean socialist leader was deposed and killed by General Pinochet during a U.S.
factual_qa_8562,factual_qa,mandarjoshi/trivia_qa,8562,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Which club did he play for from 1936 to 1941? Matt Busby played for Manchester City from 1928 to 1936.
factual_qa_8574,factual_qa,mandarjoshi/trivia_qa,8574,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,Which U.S. president was born Leslie Lynch King Jr.?,president was born Leslie Lynch King Jr.? Which U.S.
math_reasoning_5020,math_reasoning,openai/gsm8k,5020,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Alice was able to sell $2500 worth of gadgets. For this month, she expects to receive her monthly basic salary of $240 and a 2% commission from these sales. How much is she going to save this month if she usually saves 10% of her total earnings?","How much is she going to save this month if she usually saves 10% of her total earnings? Alice was able to sell $2500 worth of gadgets. For this month, she expects to receive her monthly basic salary of $240 and a 2% commission from these sales."
math_reasoning_5021,math_reasoning,openai/gsm8k,5021,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,Jesse received $50 as a gift to buy what she wants. She goes to the mall and falls in love with a novel that costs her $7. Then she went to lunch because she was very hungry and spent twice as much as the novel cost her. How much money did Jesse have left after going to the mall?,How much money did Jesse have left after going to the mall? Jesse received $50 as a gift to buy what she wants. She goes to the mall and falls in love with a novel that costs her $7. Then she went to lunch because she was very hungry and spent twice as much as the novel cost her.
math_reasoning_5022,math_reasoning,openai/gsm8k,5022,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Georgie is a varsity player on a football team. He can run 40 yards within 5 seconds. If he can improve his speed by forty percent, how many yards will he be able to run within 10 seconds?","If he can improve his speed by forty percent, how many yards will he be able to run within 10 seconds? Georgie is a varsity player on a football team. He can run 40 yards within 5 seconds."
code_generation_2,code_generation,bigcode/humanevalpack,2,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Write a Python function `truncate_number(number: float) -> float` to solve the following problem: Given a positive floating point number, it can be decomposed into and integer part (largest integer smaller than given number) and decimals (leftover part always smaller than 1). Return the decimal part of the number. >>> truncate_number(3.5) 0.5",">>> truncate_number(3.5) 0.5 Write a Python function `truncate_number(number: float) -> float` to solve the following problem: Given a positive floating point number, it can be decomposed into and integer part (largest integer smaller than given number) and decimals (leftover part always smaller than 1). Return the decimal part of the number."
code_generation_3,code_generation,bigcode/humanevalpack,3,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Write a Python function `below_zero(operations: List[int]) -> bool` to solve the following problem: You're given a list of deposit and withdrawal operations on a bank account that starts with zero balance. Your task is to detect if at any point the balance of account fallls below zero, and at that point function should return True. Otherwise it should return False. >>> below_zero([1, 2, 3]) False >>> below_zero([1, 2, -4, 5]) True",">>> below_zero([1, 2, 3]) False >>> below_zero([1, 2, -4, 5]) True Write a Python function `below_zero(operations: List[int]) -> bool` to solve the following problem: You're given a list of deposit and withdrawal operations on a bank account that starts with zero balance. Your task is to detect if at any point the balance of account fallls below zero, and at that point function should return True. Otherwise it should return False."
code_generation_4,code_generation,bigcode/humanevalpack,4,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Write a Python function `mean_absolute_deviation(numbers: List[float]) -> float` to solve the following problem: For a given list of input numbers, calculate Mean Absolute Deviation around the mean of this dataset. Mean Absolute Deviation is the average absolute difference between each element and a centerpoint (mean in this case): MAD = average | x - x_mean | >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0]) 1.0","Mean Absolute Deviation is the average absolute difference between each element and a centerpoint (mean in this case): MAD = average | x - x_mean | >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0]) 1.0 Write a Python function `mean_absolute_deviation(numbers: List[float]) -> float` to solve the following problem: For a given list of input numbers, calculate Mean Absolute Deviation around the mean of this dataset."
open_ended_writing_9814,open_ended_writing,tatsu-lab/alpaca,9814,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,Generate a response that expresses surprise for the following statement. Input: He ran a marathon in two hours.,Input: He ran a marathon in two hours. Generate a response that expresses surprise for the following statement.
