item_id,task_type,perturbation_type,similarity,perturbed_performance,original_performance,correctness_retention,absolute_performance_change,pdr,similarity_metric
code_generation_102,code_generation,context_injection,0.870927,0.000000,0.200000,0.000000,0.200000,1.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,formatting_changes,0.891651,0.000000,0.200000,0.000000,0.200000,1.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,paraphrasing,0.889416,0.000000,0.200000,0.000000,0.200000,1.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,reordering,0.906791,0.000000,0.200000,0.000000,0.200000,1.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,surface_noise,0.910077,0.200000,0.200000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,context_injection,0.901442,1.000000,1.000000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,formatting_changes,0.891130,1.000000,1.000000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,paraphrasing,0.887677,0.800000,1.000000,0.800000,0.200000,0.200000,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,reordering,0.892090,1.000000,1.000000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,surface_noise,0.892756,1.000000,1.000000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,context_injection,0.921551,1.000000,1.000000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,formatting_changes,0.919022,1.000000,1.000000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,paraphrasing,0.914764,1.000000,1.000000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,reordering,0.898465,1.000000,1.000000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise,0.915326,1.000000,1.000000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,context_injection,0.907794,0.000000,0.000000,,0.000000,,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,formatting_changes,0.910128,0.000000,0.000000,,0.000000,,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,paraphrasing,0.911659,0.000000,0.000000,,0.000000,,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,reordering,0.927336,0.000000,0.000000,,0.000000,,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise,0.919278,0.000000,0.000000,,0.000000,,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,context_injection,0.818758,0.600000,0.800000,0.750000,0.200000,0.250000,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,formatting_changes,0.837852,0.800000,0.800000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,paraphrasing,0.820820,0.800000,0.800000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,reordering,0.833088,0.600000,0.800000,0.750000,0.200000,0.250000,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,surface_noise,0.841422,0.600000,0.800000,0.750000,0.200000,0.250000,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,context_injection,0.904418,0.000000,0.000000,,0.000000,,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,formatting_changes,0.904066,0.000000,0.000000,,0.000000,,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,paraphrasing,0.848489,0.000000,0.000000,,0.000000,,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,reordering,0.901696,0.000000,0.000000,,0.000000,,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,surface_noise,0.809936,0.000000,0.000000,,0.000000,,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,context_injection,0.863051,0.600000,0.600000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,formatting_changes,0.862731,1.000000,0.600000,1.000000,-0.400000,-0.666667,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,paraphrasing,0.837171,0.800000,0.600000,1.000000,-0.200000,-0.333333,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,reordering,0.865914,0.600000,0.600000,1.000000,0.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
