item_id,task_type,dataset_name,source_index,source_id,sample_id,model_name,prompt_variant,perturbation_type,reference_answer,output_text,extracted_answer,performance_score,factual_containment_match,factual_token_f1,is_correct,needs_manual_review,correctness_method,notes
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,1,qwen-plus,original,,the City council,"Since 1990, the President of Warsaw was initially elected by the City Council. However, this changed in 2002: since then, the President of Warsaw has been elected directly by all the citizens of Warsaw.  

So, to answer precisely:  
- From **1990 to 2002**, the President of Warsaw was elected by the **City Council** (with an exception from 1994–1999, when the mayor of the Centrum district automatically became President, and that district mayor was elected by the Centrum district council).  
- Since **2002**, the President of Warsaw has been elected by **all citizens of Warsaw** in a direct popular vote.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,2,qwen-plus,original,,the City council,"Since 1990, the President of Warsaw was initially elected by the City Council. However, this changed in 2002: **since 2002, the President of Warsaw has been elected directly by all citizens of Warsaw**.

Note: Between 1994 and 1999, there was a transitional arrangement where the mayor of the district Centrum automatically served as President of Warsaw — and that mayor was elected by the Centrum district council (which itself was elected by Centrum residents). But the general rule *since 1990* (outside the 1994–1999 exception) was election by the City Council — until direct popular election began in 2002.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,3,qwen-plus,original,,the City council,"Since 1990, the President of Warsaw was initially elected by the City Council. However, this changed over time:

- **1990–1994**: Elected by the Warsaw City Council.  
- **1994–1999**: The President was *automatically* the mayor of the district Centrum, who was elected by the Centrum District Council (which itself was elected by Centrum residents only).  
- **Since 2002**: Elected directly by all citizens of Warsaw in a citywide popular vote.

So, strictly answering “Who has elected the President of Warsaw since 1990?” — it depends on the period:
- **1990–1994**: Warsaw City Council  
- **1994–1999**: Indirectly, via the Centrum District Council (elected by Centrum residents)  
- **2002–present**: All eligible citizens of Warsaw (direct universal suffrage)

The question asks *who* — not *how* — so the electors were:  
→ the **Warsaw City Council** (1990–1994),  
→ the **Centrum District Council** (1994–1999), and  
→ **all Warsaw citizens** (since 2002).",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,4,qwen-plus,original,,the City council,"Since 1990, the President of Warsaw was initially elected by the City Council. However, this changed over time:

- **1990–1994**: Elected by the Warsaw City Council.  
- **1994–1999**: The President of Warsaw was *automatically* the mayor of the district Centrum, who was elected by the Centrum District Council (itself elected by Centrum residents only).  
- **Since 2002**: Directly elected by all citizens of Warsaw.

So, to answer the question directly:  
**From 1990 to 1994**, the President of Warsaw was elected by the **Warsaw City Council**;  
**From 1994 to 1999**, the President was *not directly elected* but *designated* as the mayor of Centrum, who was elected by the **Centrum District Council** (elected by Centrum residents);  
**Since 2002**, the President has been elected by **all eligible citizens of Warsaw** in a direct popular vote.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,5,qwen-plus,original,,the City council,"Since 1990, the President of Warsaw was initially elected by the City Council. However, this changed over time:

- **1990–1994**: Elected by the Warsaw City Council.  
- **1994–1999**: The mayor of the district *Centrum* was automatically designated as President of Warsaw; that district mayor was elected by the *Centrum* district council (which itself was elected by *Centrum* residents only).  
- **Since 2002**: Directly elected by all citizens of Warsaw in a citywide popular vote.

So, to answer the question directly:  
**From 1990 to 1994, the President of Warsaw was elected by the City Council; from 1994 to 1999, effectively by the residents of the Centrum district (via their district council); and since 2002, by all citizens of Warsaw.**",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,1,qwen-plus,original,,former captain of the Yale football team,Walter Camp was a captain for the Yale football team.,former captain of the Yale football team,0.571429,false,0.571429,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.67; token_f1=0.571429; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,2,qwen-plus,original,,former captain of the Yale football team,Walter Camp was a captain for the Yale football team.,former captain of the Yale football team,0.571429,false,0.571429,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.67; token_f1=0.571429; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,3,qwen-plus,original,,former captain of the Yale football team,Walter Camp was a captain for the Yale football team.,former captain of the Yale football team,0.571429,false,0.571429,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.67; token_f1=0.571429; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,4,qwen-plus,original,,former captain of the Yale football team,Walter Camp was a captain for the Yale football team.,former captain of the Yale football team,0.571429,false,0.571429,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.67; token_f1=0.571429; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,5,qwen-plus,original,,former captain of the Yale football team,Walter Camp was a captain for the Yale football team.,former captain of the Yale football team,0.571429,false,0.571429,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.67; token_f1=0.571429; binary correctness not assigned for factual QA
factual_qa_6353,factual_qa,rajpurkar/squad_v2,6353,5727cd0f4b864d1900163d73,1,qwen-plus,original,,"new and enlarged bridges, a shuttle service and/or a tram.","Some proposals to connect the Cambridge and Allston campuses include:

- Building **new bridges** across the Charles River  
- **Enlarging existing bridges**  
- Implementing a **shuttle service**  
- Introducing a **tram system**  

These transportation initiatives aim to improve connectivity between the two campuses and support Harvard’s expansion into Allston.","new and enlarged bridges, a shuttle service and/or a tram.",0.285714,false,0.285714,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.75; token_f1=0.285714; binary correctness not assigned for factual QA
factual_qa_6353,factual_qa,rajpurkar/squad_v2,6353,5727cd0f4b864d1900163d73,2,qwen-plus,original,,"new and enlarged bridges, a shuttle service and/or a tram.","Some proposals to connect Harvard’s Cambridge campus with its new Allston campus include:

- Building **new and enlarged bridges** across the Charles River  
- Implementing a **shuttle service**  
- Introducing a **tram** system  
- Sinking part of **Storrow Drive** (at Harvard’s expense) to create park land and improve pedestrian access to the Charles River  
- Constructing **bike paths**  

These initiatives aim to enhance connectivity, accessibility, and sustainability between the two campuses.","new and enlarged bridges, a shuttle service and/or a tram.",0.228571,false,0.228571,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.88; token_f1=0.228571; binary correctness not assigned for factual QA
factual_qa_6353,factual_qa,rajpurkar/squad_v2,6353,5727cd0f4b864d1900163d73,3,qwen-plus,original,,"new and enlarged bridges, a shuttle service and/or a tram.","Some proposals to connect the Cambridge campus with the new Allston campus include:

- Building **new and enlarged bridges** across the Charles River  
- Establishing a **shuttle service**  
- Implementing a **tram system**  

These transportation initiatives aim to improve connectivity between the two campuses.","new and enlarged bridges, a shuttle service and/or a tram.",0.318182,false,0.318182,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.88; token_f1=0.318182; binary correctness not assigned for factual QA
factual_qa_6353,factual_qa,rajpurkar/squad_v2,6353,5727cd0f4b864d1900163d73,4,qwen-plus,original,,"new and enlarged bridges, a shuttle service and/or a tram.","Some proposals to connect the Cambridge and Allston campuses include:

- Building new bridges across the Charles River  
- Enlarging existing bridges  
- Implementing a shuttle service  
- Introducing a tram system  

These transportation initiatives aim to improve connectivity between the two campuses.","new and enlarged bridges, a shuttle service and/or a tram.",0.279070,false,0.279070,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.75; token_f1=0.279070; binary correctness not assigned for factual QA
factual_qa_6353,factual_qa,rajpurkar/squad_v2,6353,5727cd0f4b864d1900163d73,5,qwen-plus,original,,"new and enlarged bridges, a shuttle service and/or a tram.","Some proposals to connect the Cambridge and Allston campuses include:

- Building new bridges across the Charles River  
- Enlarging existing bridges  
- Implementing a shuttle service  
- Introducing a tram system  

These transportation initiatives aim to improve connectivity between the two campuses.","new and enlarged bridges, a shuttle service and/or a tram.",0.279070,false,0.279070,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.75; token_f1=0.279070; binary correctness not assigned for factual QA
factual_qa_800,factual_qa,rajpurkar/squad_v2,800,570602fa52bb89140068979f,1,qwen-plus,original,,global,Some of the cities in Southern California receive **global recognition**.,global,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_800,factual_qa,rajpurkar/squad_v2,800,570602fa52bb89140068979f,2,qwen-plus,original,,global,Some of the cities in Southern California receive **global recognition**.,global,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_800,factual_qa,rajpurkar/squad_v2,800,570602fa52bb89140068979f,3,qwen-plus,original,,global,Some of the cities in Southern California receive **global recognition**.,global,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_800,factual_qa,rajpurkar/squad_v2,800,570602fa52bb89140068979f,4,qwen-plus,original,,global,Some of the cities in Southern California receive **global recognition**.,global,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_800,factual_qa,rajpurkar/squad_v2,800,570602fa52bb89140068979f,5,qwen-plus,original,,global,Some of the cities in Southern California receive **global recognition**.,global,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_8164,factual_qa,rajpurkar/squad_v2,8164,5729f12e3f37b319004785e3,1,qwen-plus,original,,pathogens or pathogen-infected cells,Antigen specificity allows responses that are specific to certain types of **pathogens or pathogen-infected cells**.,pathogens or pathogen-infected cells,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_8164,factual_qa,rajpurkar/squad_v2,8164,5729f12e3f37b319004785e3,2,qwen-plus,original,,pathogens or pathogen-infected cells,Antigen specificity allows responses that are specific to certain types of **pathogens or pathogen-infected cells**.,pathogens or pathogen-infected cells,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_8164,factual_qa,rajpurkar/squad_v2,8164,5729f12e3f37b319004785e3,3,qwen-plus,original,,pathogens or pathogen-infected cells,Antigen specificity allows responses that are specific to certain types of **pathogens or pathogen-infected cells**.,pathogens or pathogen-infected cells,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_8164,factual_qa,rajpurkar/squad_v2,8164,5729f12e3f37b319004785e3,4,qwen-plus,original,,pathogens or pathogen-infected cells,Antigen specificity allows responses that are specific to certain types of **pathogens or pathogen-infected cells**.,pathogens or pathogen-infected cells,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_8164,factual_qa,rajpurkar/squad_v2,8164,5729f12e3f37b319004785e3,5,qwen-plus,original,,pathogens or pathogen-infected cells,Antigen specificity allows responses that are specific to certain types of **pathogens or pathogen-infected cells**.,pathogens or pathogen-infected cells,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_2289,factual_qa,rajpurkar/squad_v2,2289,571a49de4faf5e1900b8a94a,1,qwen-plus,original,,photosynthesis,"Oxygen is **not released** in cellular respiration — it is **consumed**.  

In cellular respiration, oxygen acts as the final electron acceptor in the electron transport chain and is reduced to form water (H₂O). The process consumes oxygen and produces carbon dioxide (CO₂), water, and energy (ATP).

Oxygen is **released** during **photosynthesis**, where it is produced as a by-product when water (H₂O) is split using light energy.

So, the correct answer to the question *""Oxygen is released in cellular respiration by?""* is:  
**It is not released — oxygen is consumed, not released, in cellular respiration.**",photosynthesis,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_2289,factual_qa,rajpurkar/squad_v2,2289,571a49de4faf5e1900b8a94a,2,qwen-plus,original,,photosynthesis,"Oxygen is **not released** in cellular respiration — it is **consumed**.

In cellular respiration, oxygen acts as the final electron acceptor in the electron transport chain and is reduced to form water (H₂O). The correct statement is:

✅ Oxygen is **released by photosynthesis**, not cellular respiration.  
❌ Oxygen is **not released** in cellular respiration.

So, the answer to the question *""Oxygen is released in cellular respiration by?""* is:  
**None — oxygen is not released in cellular respiration; it is consumed.**",photosynthesis,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
