item_id,task_type,dataset_name,source_index,perturbation_type,construction_method,method_reference,semantic_equivalence_status,original_prompt,perturbed_prompt
open_ended_writing_10208,open_ended_writing,tatsu-lab/alpaca,10208,paraphrasing,llm_assisted_posix_paraphrase,Reference 3 POSIX: GPT-3.5-Turbo paraphrase generation,pending_manual_check,"Instruction: Identify and explain the four major ocean currents.

Input: Noinput",Task: Identify and provide explanations for the four primary ocean currents.
open_ended_writing_10208,open_ended_writing,tatsu-lab/alpaca,10208,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,pending_manual_check,"Instruction: Identify and explain the four major ocean currents.

Input: Noinput","Input: Noinput

Instruction: Identify and explain the four major ocean currents."
open_ended_writing_10208,open_ended_writing,tatsu-lab/alpaca,10208,formatting_changes,rule_based_template_transformation,Reference 3 POSIX: prompt-template variation,pending_manual_check,"Instruction: Identify and explain the four major ocean currents.

Input: Noinput","Please answer the following prompt:

- Prompt: Instruction: Identify and explain the four major ocean currents.

Input: Noinput"
open_ended_writing_10208,open_ended_writing,tatsu-lab/alpaca,10208,context_injection,fixed_neutral_sentence_bank,"Reference 1 PromptRobust: irrelevant sentence insertion, softened",pending_manual_check,"Instruction: Identify and explain the four major ocean currents.

Input: Noinput","The following request is provided for a routine model-response comparison.

Instruction: Identify and explain the four major ocean currents.

Input: Noinput"
open_ended_writing_10208,open_ended_writing,tatsu-lab/alpaca,10208,surface_noise,rule_based_posix_spelling_error,Reference 3 POSIX: insertion/omission/transposition/substitution,pending_manual_check,"Instruction: Identify and explain the four major ocean currents.

Input: Noinput","Imstruction: Identify and explain the four major ocean currents.

Input: Noinput"
open_ended_writing_45338,open_ended_writing,tatsu-lab/alpaca,45338,paraphrasing,llm_assisted_posix_paraphrase,Reference 3 POSIX: GPT-3.5-Turbo paraphrase generation,pending_manual_check,"Instruction: Given a list and a value, find the index of the given value in the list.

Input: List: [3, 8, 10, 20], Value: 10","Task: Determine the index of a specified value within a provided list.

Input: List: [3, 8, 10, 20], Value: 10"
open_ended_writing_45338,open_ended_writing,tatsu-lab/alpaca,45338,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,pending_manual_check,"Instruction: Given a list and a value, find the index of the given value in the list.

Input: List: [3, 8, 10, 20], Value: 10","Input: List: [3, 8, 10, 20], Value: 10

Instruction: Given a list and a value, find the index of the given value in the list."
open_ended_writing_45338,open_ended_writing,tatsu-lab/alpaca,45338,formatting_changes,rule_based_template_transformation,Reference 3 POSIX: prompt-template variation,pending_manual_check,"Instruction: Given a list and a value, find the index of the given value in the list.

Input: List: [3, 8, 10, 20], Value: 10","Please answer the following prompt:

- Prompt: Instruction: Given a list and a value, find the index of the given value in the list.

Input: List: [3, 8, 10, 20], Value: 10"
open_ended_writing_45338,open_ended_writing,tatsu-lab/alpaca,45338,context_injection,fixed_neutral_sentence_bank,"Reference 1 PromptRobust: irrelevant sentence insertion, softened",pending_manual_check,"Instruction: Given a list and a value, find the index of the given value in the list.

Input: List: [3, 8, 10, 20], Value: 10","The wording below is being used in a controlled prompt study.

Instruction: Given a list and a value, find the index of the given value in the list.

Input: List: [3, 8, 10, 20], Value: 10"
open_ended_writing_45338,open_ended_writing,tatsu-lab/alpaca,45338,surface_noise,rule_based_posix_spelling_error,Reference 3 POSIX: insertion/omission/transposition/substitution,pending_manual_check,"Instruction: Given a list and a value, find the index of the given value in the list.

Input: List: [3, 8, 10, 20], Value: 10","Instruction: Given a ist and a value, find the index of the given value in the list.

Input: List: [3, 8, 10, 20], Value: 10"
open_ended_writing_11297,open_ended_writing,tatsu-lab/alpaca,11297,paraphrasing,llm_assisted_posix_paraphrase,Reference 3 POSIX: GPT-3.5-Turbo paraphrase generation,pending_manual_check,"Instruction: Create a search engine query

Input: Find new resources for learning Spanish",Generate a search engine query to discover fresh learning materials for Spanish.
