item_id,task_type,dataset_name,source_index,source_id,sample_id,model_name,prompt_variant,perturbation_type,reference_answer,output_text,extracted_answer,performance_score,factual_containment_match,factual_token_f1,is_correct,needs_manual_review,correctness_method,notes
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,3,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,the City council,"Since 1990, the President of Warsaw has been elected by the City council.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,4,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,the City council,"Since 1990, the President of Warsaw has been elected by the City council.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,1,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,the City council,"Since 1990, the President of Warsaw has been elected by the City Council.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,5,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,the City council,"Since 1990, the President of Warsaw has been elected by the City council.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,2,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,the City council,"Since 1990, the President of Warsaw has been elected by the City council.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,2,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,former captain of the Yale football team,Walter Camp was a captain of the Yale football team.,former captain of the Yale football team,0.714286,false,0.714286,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.83; token_f1=0.714286; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,1,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,former captain of the Yale football team,Walter Camp was a captain of the Yale football team.,former captain of the Yale football team,0.714286,false,0.714286,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.83; token_f1=0.714286; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,3,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,former captain of the Yale football team,Walter Camp was a captain of the Yale football team.,former captain of the Yale football team,0.714286,false,0.714286,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.83; token_f1=0.714286; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,4,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,former captain of the Yale football team,Walter Camp was a captain for the Yale football team.,former captain of the Yale football team,0.571429,false,0.571429,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.67; token_f1=0.571429; binary correctness not assigned for factual QA
factual_qa_6353,factual_qa,rajpurkar/squad_v2,6353,5727cd0f4b864d1900163d73,1,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,"new and enlarged bridges, a shuttle service and/or a tram.","According to the context, some proposals to connect the Cambridge campus with the new Allston campus include:

1. New and enlarged bridges
2. A shuttle service
3. A tram

These proposals aim to facilitate communication and travel between the two campuses.","new and enlarged bridges, a shuttle service and/or a tram.",0.363636,false,0.363636,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.88; token_f1=0.363636; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,5,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,former captain of the Yale football team,Walter Camp was a captain of the Yale football team.,former captain of the Yale football team,0.714286,false,0.714286,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.83; token_f1=0.714286; binary correctness not assigned for factual QA
factual_qa_6353,factual_qa,rajpurkar/squad_v2,6353,5727cd0f4b864d1900163d73,4,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,"new and enlarged bridges, a shuttle service and/or a tram.","According to the context, some proposals to connect the Cambridge campus with the new Allston campus include:

1. New and enlarged bridges
2. A shuttle service
3. A tram service

These proposals aim to facilitate the connection between the two campuses, making it easier for students, faculty, and staff to travel between them.","new and enlarged bridges, a shuttle service and/or a tram.",0.290909,false,0.290909,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.88; token_f1=0.290909; binary correctness not assigned for factual QA
factual_qa_6353,factual_qa,rajpurkar/squad_v2,6353,5727cd0f4b864d1900163d73,2,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,"new and enlarged bridges, a shuttle service and/or a tram.","According to the context, some proposals to connect the Cambridge campus with the new Allston campus include:

1. New and enlarged bridges
2. A shuttle service
3. A tram","new and enlarged bridges, a shuttle service and/or a tram.",0.424242,false,0.424242,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.88; token_f1=0.424242; binary correctness not assigned for factual QA
factual_qa_6353,factual_qa,rajpurkar/squad_v2,6353,5727cd0f4b864d1900163d73,3,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,"new and enlarged bridges, a shuttle service and/or a tram.","According to the context, some proposals to connect the Cambridge campus with the new Allston campus include:

1. New and enlarged bridges
2. A shuttle service
3. A tram","new and enlarged bridges, a shuttle service and/or a tram.",0.424242,false,0.424242,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.88; token_f1=0.424242; binary correctness not assigned for factual QA
factual_qa_6353,factual_qa,rajpurkar/squad_v2,6353,5727cd0f4b864d1900163d73,5,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,"new and enlarged bridges, a shuttle service and/or a tram.","According to the context, some proposals to connect the Cambridge campus with the new Allston campus include:

1. New and enlarged bridges
2. A shuttle service
3. A tram","new and enlarged bridges, a shuttle service and/or a tram.",0.424242,false,0.424242,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.88; token_f1=0.424242; binary correctness not assigned for factual QA
factual_qa_800,factual_qa,rajpurkar/squad_v2,800,570602fa52bb89140068979f,1,meta-llama/Meta-Llama-3-8B-Instruct-Lite,original,,global,"Outside of national recognition, some cities in Southern California receive global recognition for their unique cultures, economies, and tourist attractions. For instance, Los Angeles, San Diego, and San Francisco are renowned for their entertainment industries, beaches, and iconic landmarks. Other cities, such as Anaheim, Santa Monica, and Long Beach, are famous for their theme parks, shopping districts, and vibrant nightlife. Additionally, cities like Pasadena, Beverly Hills, and Newport Beach are celebrated for their luxury lifestyle, high-end shopping, and upscale dining. These cities, among others, contribute to Southern California's reputation as a hub for tourism, entertainment, and business.",global,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
