item_id,task_type,dataset_name,dataset_split,source_index,source_id,prompt_text,reference_answer,random_seed
open_ended_writing_10208,open_ended_writing,tatsu-lab/alpaca,train,10208,10208,"Instruction: Identify and explain the four major ocean currents.

Input: Noinput","The four major ocean currents are the North Atlantic Drift, Gulf Stream, Kuroshio Current, and Rhumb Line. The North Atlantic Drift is a significant western boundary current in the Atlantic Ocean and is part of the North Atlantic Gyre. The Gulf Stream is a warm, swift Atlantic Ocean current that originates in the Gulf of Mexico and flows northeastward toward Europe. The Kuroshio Current is a warm, swift Pacific Ocean current located off the east coast of Japan. Lastly, Rhumb Line is an ocean current that goes in a circle around the world along the same latitude.",20260623
open_ended_writing_45338,open_ended_writing,tatsu-lab/alpaca,train,45338,45338,"Instruction: Given a list and a value, find the index of the given value in the list.

Input: List: [3, 8, 10, 20], Value: 10",2,20260623
open_ended_writing_11297,open_ended_writing,tatsu-lab/alpaca,train,11297,11297,"Instruction: Create a search engine query

Input: Find new resources for learning Spanish","""new resources learning Spanish""",20260623
open_ended_writing_36102,open_ended_writing,tatsu-lab/alpaca,train,36102,36102,"Instruction: Classify the input as a praise or criticism

Input: ""You should have asked for help from your colleagues.""",Criticism,20260623
open_ended_writing_16258,open_ended_writing,tatsu-lab/alpaca,train,16258,16258,"Instruction: Analyse the given data and identify any patterns.

Input: The following data represents the sale of a company's products over the past five years: Year 1: $10 million Year 2: $15 million Year 3: $14 million Year 4: $17 million Year 5: $18 million","The data shows an overall trend of increasing sales year over year. There was a slight decrease between year 2 and 3, but overall the sales have been steadily increasing.",20260623
open_ended_writing_35144,open_ended_writing,tatsu-lab/alpaca,train,35144,35144,"Instruction: Write a rhyming poem that summarizes the following article.

Input: The article is about the importance of trees.","Trees do the planet so much good, They freshen the air like they should From the leaves of a tree we take shade And without them, the world would be frayed The branches are swaying with the breeze Providing shelter and giving a peace Without tree these lands would be bare So let's do our part and take care",20260623
open_ended_writing_10774,open_ended_writing,tatsu-lab/alpaca,train,10774,10774,"Instruction: Parse the given text to extract a list of all the nouns.

Input: The teacher asked the students to do their homework carefully.","[teacher, students, homework]",20260623
open_ended_writing_50246,open_ended_writing,tatsu-lab/alpaca,train,50246,50246,"Instruction: Summarize the main idea of the following article Input: https://domoregood.org/2020/07/02/green-business-returns/

Input: https://domoregood.org/2020/07/02/green-business-returns/","This article discusses the benefits of companies providing environmentally friendly services, known as green businesses. It highlights the ways green businesses can create economic value and benefit the environment by reducing emissions, conserving energy, and promoting sustainability. The article also outlines the challenges that may arise when running a green business, from legislative regulations to changing consumer demands.",20260623
open_ended_writing_34294,open_ended_writing,tatsu-lab/alpaca,train,34294,34294,"Instruction: Create a Python function which reverses the characters in a string.

Input: String = ""Hello World""","def reverse(string): str = """" for i in string: str = i + str return str print(reverse(""Hello World"")) # Output: dlroW olleH",20260623
open_ended_writing_35341,open_ended_writing,tatsu-lab/alpaca,train,35341,35341,"Instruction: Compose a new version of this sentence using active voice.

Input: The painting was completed by him.",He completed the painting.,20260623
open_ended_writing_45032,open_ended_writing,tatsu-lab/alpaca,train,45032,45032,"Instruction: Describe the weather conditions in the given location.

Input: Amsterdam, Netherlands","The weather in Amsterdam varies throughout the year. During the summer, typically from May to August, temperatures can range from pleasant to hot, typically averaging around 17 to 20 degrees Celsius. During the winter months, temperatures range from cool to cold, and precipitation is common. Snow usually falls in December and January, and temperatures can dip below freezing during the night.",20260623
open_ended_writing_17839,open_ended_writing,tatsu-lab/alpaca,train,17839,17839,"Instruction: Search the Internet and find an interesting quote related to the given topic.

Input: Determining success","""Success is not determined by what you accomplish, but by the opposition you have encountered, and the courage with which you have maintained the struggle against overwhelming odds."" - Orison Swett Marden",20260623
open_ended_writing_6859,open_ended_writing,tatsu-lab/alpaca,train,6859,6859,"Instruction: Given a sequence of numbers, classify it as either increasing, decreasing, or constant.

Input: 2, 4, 4, 4, 2",Decreasing.,20260623
open_ended_writing_35625,open_ended_writing,tatsu-lab/alpaca,train,35625,35625,"Instruction: Find which of these words does not belong:

Input: Stir, Pressure, Jump",Jump,20260623
open_ended_writing_28710,open_ended_writing,tatsu-lab/alpaca,train,28710,28710,"Instruction: Generate an expression that evaluates to non-zero if the given number is even.

Input: 5",5 % 2 === 0,20260623
