task_type,perturbation_type,n_items,mean_uncorrected_drift,std_uncorrected_drift,similarity_metric
code_generation,context_injection,50,0.072851,0.075692,sentence-transformers/all-MiniLM-L6-v2
code_generation,formatting_changes,50,0.052248,0.05179,sentence-transformers/all-MiniLM-L6-v2
code_generation,paraphrasing,50,0.08598,0.066768,sentence-transformers/all-MiniLM-L6-v2
code_generation,reordering,50,0.09312,0.099744,sentence-transformers/all-MiniLM-L6-v2
code_generation,surface_noise,50,0.059954,0.067472,sentence-transformers/all-MiniLM-L6-v2
factual_qa,context_injection,50,0.04581,0.067815,sentence-transformers/all-MiniLM-L6-v2
factual_qa,formatting_changes,50,0.031573,0.040483,sentence-transformers/all-MiniLM-L6-v2
factual_qa,paraphrasing,50,0.15731,0.117466,sentence-transformers/all-MiniLM-L6-v2
factual_qa,reordering,50,0.089796,0.117514,sentence-transformers/all-MiniLM-L6-v2
factual_qa,surface_noise,50,0.025936,0.03853,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,context_injection,50,0.073583,0.052042,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,formatting_changes,50,0.064719,0.049582,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,paraphrasing,50,0.126786,0.112393,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,reordering,50,0.061315,0.045313,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,surface_noise,50,0.060959,0.049111,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,context_injection,50,0.082017,0.098101,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,formatting_changes,50,0.079798,0.107423,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,paraphrasing,50,0.236659,0.233502,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,reordering,50,0.103908,0.115924,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,surface_noise,50,0.078037,0.086605,sentence-transformers/all-MiniLM-L6-v2
