item_id,task_type,dataset_name,n_outputs,n_pairs,mean_within_prompt_similarity,sampling_noise_drift,similarity_metric
code_generation_0,code_generation,bigcode/humanevalpack,5,10,0.995859,0.004141,sentence-transformers/all-MiniLM-L6-v2
code_generation_1,code_generation,bigcode/humanevalpack,5,10,0.951426,0.048574,sentence-transformers/all-MiniLM-L6-v2
code_generation_10,code_generation,bigcode/humanevalpack,5,10,0.987844,0.012156,sentence-transformers/all-MiniLM-L6-v2
code_generation_100,code_generation,bigcode/humanevalpack,5,10,0.905606,0.094394,sentence-transformers/all-MiniLM-L6-v2
code_generation_101,code_generation,bigcode/humanevalpack,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,bigcode/humanevalpack,5,10,0.98761,0.01239,sentence-transformers/all-MiniLM-L6-v2
code_generation_103,code_generation,bigcode/humanevalpack,5,10,0.848182,0.151818,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,bigcode/humanevalpack,5,10,0.877013,0.122987,sentence-transformers/all-MiniLM-L6-v2
code_generation_105,code_generation,bigcode/humanevalpack,5,10,0.964268,0.035732,sentence-transformers/all-MiniLM-L6-v2
code_generation_106,code_generation,bigcode/humanevalpack,5,10,0.893396,0.106604,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,bigcode/humanevalpack,5,10,0.991559,0.008441,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,bigcode/humanevalpack,5,10,0.905124,0.094876,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,bigcode/humanevalpack,5,10,0.927812,0.072188,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,bigcode/humanevalpack,5,10,0.955384,0.044616,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,bigcode/humanevalpack,5,10,0.975701,0.024299,sentence-transformers/all-MiniLM-L6-v2
code_generation_114,code_generation,bigcode/humanevalpack,5,10,0.961577,0.038423,sentence-transformers/all-MiniLM-L6-v2
code_generation_115,code_generation,bigcode/humanevalpack,5,10,0.926927,0.073073,sentence-transformers/all-MiniLM-L6-v2
code_generation_116,code_generation,bigcode/humanevalpack,5,10,0.901898,0.098102,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,bigcode/humanevalpack,5,10,0.869712,0.130288,sentence-transformers/all-MiniLM-L6-v2
code_generation_118,code_generation,bigcode/humanevalpack,5,10,0.923211,0.076789,sentence-transformers/all-MiniLM-L6-v2
code_generation_119,code_generation,bigcode/humanevalpack,5,10,0.919163,0.080837,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,bigcode/humanevalpack,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
code_generation_120,code_generation,bigcode/humanevalpack,5,10,0.905178,0.094822,sentence-transformers/all-MiniLM-L6-v2
code_generation_121,code_generation,bigcode/humanevalpack,5,10,0.912891,0.087109,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,bigcode/humanevalpack,5,10,0.877173,0.122827,sentence-transformers/all-MiniLM-L6-v2
code_generation_123,code_generation,bigcode/humanevalpack,5,10,0.92128,0.07872,sentence-transformers/all-MiniLM-L6-v2
code_generation_124,code_generation,bigcode/humanevalpack,5,10,0.958616,0.041384,sentence-transformers/all-MiniLM-L6-v2
code_generation_125,code_generation,bigcode/humanevalpack,5,10,0.87693,0.12307,sentence-transformers/all-MiniLM-L6-v2
