item_id,task_type,dataset_name,source_index,perturbation_type,construction_method,method_reference,validation_check,reorderable_units_count,original_prompt,perturbed_prompt
factual_qa_8562,factual_qa,mandarjoshi/trivia_qa,8562,reordering,eligibility_filtered_reordering,Reference 5 Haase et al.: information-order variation,reorderable_units_then_token_sequence_non_identical,2,Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Which club did he play for from 1936 to 1941? Matt Busby played for Manchester City from 1928 to 1936.
factual_qa_298,factual_qa,mandarjoshi/trivia_qa,298,reordering,eligibility_filtered_reordering,Reference 5 Haase et al.: information-order variation,reorderable_units_then_token_sequence_non_identical,2,"From which country do French fries originate? France, Belgium or Switzerland?","France, Belgium or Switzerland? From which country do French fries originate?"
math_reasoning_975,math_reasoning,openai/gsm8k,975,reordering,eligibility_filtered_reordering,Reference 5 Haase et al.: information-order variation,reorderable_units_then_token_sequence_non_identical,4,John hits 70% of his free throws. For every foul he gets 2 shots. He gets fouled 5 times a game. How many free throws does he get if he plays in 80% of the 20 games the team plays?,How many free throws does he get if he plays in 80% of the 20 games the team plays? John hits 70% of his free throws. For every foul he gets 2 shots. He gets fouled 5 times a game.
math_reasoning_976,math_reasoning,openai/gsm8k,976,reordering,eligibility_filtered_reordering,Reference 5 Haase et al.: information-order variation,reorderable_units_then_token_sequence_non_identical,2,"Ludwig works 7 days a week and he usually works half of the day during Friday, Saturday, and Sunday. If his daily salary is $10, how much does he earn every week?","If his daily salary is $10, how much does he earn every week? Ludwig works 7 days a week and he usually works half of the day during Friday, Saturday, and Sunday."
math_reasoning_977,math_reasoning,openai/gsm8k,977,reordering,eligibility_filtered_reordering,Reference 5 Haase et al.: information-order variation,reorderable_units_then_token_sequence_non_identical,3,"Tommy goes for a run around his neighborhood and decides to calculate how many wheels he saw. All the trucks in his neighborhood have 4 wheels and all the cars in his neighborhood also have 4 wheels. If he saw 12 trucks and 13 cars, how many wheels did he see?","If he saw 12 trucks and 13 cars, how many wheels did he see? Tommy goes for a run around his neighborhood and decides to calculate how many wheels he saw. All the trucks in his neighborhood have 4 wheels and all the cars in his neighborhood also have 4 wheels."
math_reasoning_978,math_reasoning,openai/gsm8k,978,reordering,eligibility_filtered_reordering,Reference 5 Haase et al.: information-order variation,reorderable_units_then_token_sequence_non_identical,3,"Stephen has 110 ants in his ant farm. Half of the ants are worker ants, 20 percent of the worker ants are male. How many female worker ants are there?","How many female worker ants are there? Stephen has 110 ants in his ant farm. Half of the ants are worker ants, 20 percent of the worker ants are male."
math_reasoning_979,math_reasoning,openai/gsm8k,979,reordering,eligibility_filtered_reordering,Reference 5 Haase et al.: information-order variation,reorderable_units_then_token_sequence_non_identical,4,"At football tryouts, the coach wanted to see who could throw the ball the farthest. Parker threw the ball 16 yards. Grant threw the ball 25 percent farther than Parker and Kyle threw the ball 2 times farther than Grant. Compared to Parker, how much farther did Kyle throw the ball?","Compared to Parker, how much farther did Kyle throw the ball? At football tryouts, the coach wanted to see who could throw the ball the farthest. Parker threw the ball 16 yards. Grant threw the ball 25 percent farther than Parker and Kyle threw the ball 2 times farther than Grant."
code_generation_147,code_generation,bigcode/humanevalpack,147,reordering,eligibility_filtered_reordering,Reference 5 Haase et al.: information-order variation,reorderable_units_then_token_sequence_non_identical,5,"Write a Python function `get_max_triples(n)` to solve the following problem: You are given a positive integer n. You have to create an integer array a of length n. For each i (1 ≤ i ≤ n), the value of a[i] = i * i - i + 1. Return the number of triples (a[i], a[j], a[k]) of a where i < j < k, and a[i] + a[j] + a[k] is a multiple of 3. Example : Input: n = 5 Output: 1 Explanation: a = [1, 3, 7, 13, 21] The only valid triple is (1, 7, 13).","Example : Input: n = 5 Output: 1 Explanation: a = [1, 3, 7, 13, 21] The only valid triple is (1, 7, 13). Write a Python function `get_max_triples(n)` to solve the following problem: You are given a positive integer n. You have to create an integer array a of length n. For each i (1 ≤ i ≤ n), the value of a[i] = i * i - i + 1. Return the number of triples (a[i], a[j], a[k]) of a where i < j < k, and a[i] + a[j] + a[k] is a multiple of 3."
code_generation_148,code_generation,bigcode/humanevalpack,148,reordering,eligibility_filtered_reordering,Reference 5 Haase et al.: information-order variation,reorderable_units_then_token_sequence_non_identical,5,"Write a Python function `bf(planet1, planet2)` to solve the following problem: There are eight planets in our solar system: the closerst to the Sun is Mercury, the next one is Venus, then Earth, Mars, Jupiter, Saturn, Uranus, Neptune. Write a function that takes two planet names as strings planet1 and planet2. The function should return a tuple containing all planets whose orbits are located between the orbit of planet1 and the orbit of planet2, sorted by the proximity to the sun. The function should return an empty tuple if planet1 or planet2 are not correct planet names. Examples bf(""Jupiter"", ""Neptune"") ==> (""Saturn"", ""Uranus"") bf(""Earth"", ""Mercury"") ==> (""Venus"") bf(""Mercury"", ""Uranus"") ==> (""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"")","Examples bf(""Jupiter"", ""Neptune"") ==> (""Saturn"", ""Uranus"") bf(""Earth"", ""Mercury"") ==> (""Venus"") bf(""Mercury"", ""Uranus"") ==> (""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"") Write a Python function `bf(planet1, planet2)` to solve the following problem: There are eight planets in our solar system: the closerst to the Sun is Mercury, the next one is Venus, then Earth, Mars, Jupiter, Saturn, Uranus, Neptune. Write a function that takes two planet names as strings planet1 and planet2. The function should return a tuple containing all planets whose orbits are located between the orbit of planet1 and the orbit of planet2, sorted by the proximity to the sun. The function should return an empty tuple if planet1 or planet2 are not correct planet names."
code_generation_149,code_generation,bigcode/humanevalpack,149,reordering,eligibility_filtered_reordering,Reference 5 Haase et al.: information-order variation,reorderable_units_then_token_sequence_non_identical,6,"Write a Python function `sorted_list_sum(lst)` to solve the following problem: Write a function that accepts a list of strings as a parameter, deletes the strings that have odd lengths from it, and returns the resulted list with a sorted order, The list is always a list of strings and never an array of numbers, and it may contain duplicates. The order of the list should be ascending by length of each word, and you should return the list sorted by that rule. If two words have the same length, sort the list alphabetically. The function should return a list of strings in sorted order. You may assume that all words will have the same length. For example: assert list_sort([""aa"", ""a"", ""aaa""]) => [""aa""] assert list_sort([""ab"", ""a"", ""aaa"", ""cd""]) => [""ab"", ""cd""]","For example: assert list_sort([""aa"", ""a"", ""aaa""]) => [""aa""] assert list_sort([""ab"", ""a"", ""aaa"", ""cd""]) => [""ab"", ""cd""] Write a Python function `sorted_list_sum(lst)` to solve the following problem: Write a function that accepts a list of strings as a parameter, deletes the strings that have odd lengths from it, and returns the resulted list with a sorted order, The list is always a list of strings and never an array of numbers, and it may contain duplicates. The order of the list should be ascending by length of each word, and you should return the list sorted by that rule. If two words have the same length, sort the list alphabetically. The function should return a list of strings in sorted order. You may assume that all words will have the same length."
