item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,original_performance,perturbed_performance,absolute_performance_change,pdr,performance_dropped,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric
code_generation_0,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.995859,0.994950,0.005050,0.000909,sentence-transformers/all-MiniLM-L6-v2
code_generation_0,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.995859,0.994346,0.005654,0.001513,sentence-transformers/all-MiniLM-L6-v2
code_generation_0,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.995859,0.911682,0.088318,0.084177,sentence-transformers/all-MiniLM-L6-v2
code_generation_0,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.995859,0.995324,0.004676,0.000535,sentence-transformers/all-MiniLM-L6-v2
code_generation_0,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.995859,0.994158,0.005842,0.001701,sentence-transformers/all-MiniLM-L6-v2
code_generation_1,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.951426,0.964419,0.035581,-0.012993,sentence-transformers/all-MiniLM-L6-v2
code_generation_1,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.951426,0.811279,0.188721,0.140147,sentence-transformers/all-MiniLM-L6-v2
code_generation_1,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.951426,0.612072,0.387928,0.339354,sentence-transformers/all-MiniLM-L6-v2
code_generation_1,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.951426,0.809385,0.190615,0.142041,sentence-transformers/all-MiniLM-L6-v2
code_generation_1,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.951426,0.947451,0.052549,0.003975,sentence-transformers/all-MiniLM-L6-v2
code_generation_10,code_generation,context_injection,5,5,1.000000,0.800000,0.200000,0.200000,true,0.987844,0.837515,0.162485,0.150329,sentence-transformers/all-MiniLM-L6-v2
code_generation_10,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.987844,0.980587,0.019413,0.007257,sentence-transformers/all-MiniLM-L6-v2
code_generation_10,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.987844,0.931671,0.068329,0.056172,sentence-transformers/all-MiniLM-L6-v2
code_generation_10,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.987844,0.966750,0.033250,0.021094,sentence-transformers/all-MiniLM-L6-v2
code_generation_10,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.987844,0.988860,0.011140,-0.001016,sentence-transformers/all-MiniLM-L6-v2
code_generation_100,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.905606,0.918694,0.081306,-0.013088,sentence-transformers/all-MiniLM-L6-v2
code_generation_100,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.905606,0.926036,0.073964,-0.020430,sentence-transformers/all-MiniLM-L6-v2
code_generation_100,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.905606,0.919233,0.080767,-0.013627,sentence-transformers/all-MiniLM-L6-v2
