item_id,task_type,dataset_name,source_index,perturbation_type,construction_method,method_reference,semantic_equivalence_status,original_prompt,perturbed_prompt
factual_qa_378,factual_qa,mandarjoshi/trivia_qa,378,paraphrasing,llm_assisted_posix_paraphrase,Reference 3 POSIX: GPT-3.5-Turbo paraphrase generation,pending_manual_check,Which act has had more Christmas number one singles than any other?,Which performance has achieved the highest number of Christmas number one hits compared to all others?
factual_qa_378,factual_qa,mandarjoshi/trivia_qa,378,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,pending_manual_check,Which act has had more Christmas number one singles than any other?,More Christmas number one singles than any other act have been had by which act?
factual_qa_378,factual_qa,mandarjoshi/trivia_qa,378,formatting_changes,rule_based_template_transformation,Reference 3 POSIX: prompt-template variation,pending_manual_check,Which act has had more Christmas number one singles than any other?,Please answer the following prompt: - Prompt: Which act has had more Christmas number one singles than any other?
factual_qa_378,factual_qa,mandarjoshi/trivia_qa,378,context_injection,fixed_neutral_sentence_bank,"Reference 1 PromptRobust: irrelevant sentence insertion, softened",pending_manual_check,Which act has had more Christmas number one singles than any other?,This item appears in a broader collection of benchmark prompts. Which act has had more Christmas number one singles than any other?
factual_qa_378,factual_qa,mandarjoshi/trivia_qa,378,surface_noise,rule_based_posix_spelling_error,Reference 3 POSIX: insertion/omission/transposition/substitution,pending_manual_check,Which act has had more Christmas number one singles than any other?,Which act has had more Chirstmas number one singles than any other?
factual_qa_642,factual_qa,mandarjoshi/trivia_qa,642,paraphrasing,llm_assisted_posix_paraphrase,Reference 3 POSIX: GPT-3.5-Turbo paraphrase generation,pending_manual_check,Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,"In the movie 'Mad Max Beyond the Thunderdome,' which actress portrayed the character 'Aunty Entity'?"
factual_qa_642,factual_qa,mandarjoshi/trivia_qa,642,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,pending_manual_check,Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,"In the film 'Mad Max Beyond the Thunderdome', who played 'Aunty Entity'?"
factual_qa_642,factual_qa,mandarjoshi/trivia_qa,642,formatting_changes,rule_based_template_transformation,Reference 3 POSIX: prompt-template variation,pending_manual_check,Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,Please answer the following prompt: - Prompt: Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?
factual_qa_642,factual_qa,mandarjoshi/trivia_qa,642,context_injection,fixed_neutral_sentence_bank,"Reference 1 PromptRobust: irrelevant sentence insertion, softened",pending_manual_check,Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,This prompt is part of a general language-model evaluation. Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?
factual_qa_642,factual_qa,mandarjoshi/trivia_qa,642,surface_noise,rule_based_posix_spelling_error,Reference 3 POSIX: insertion/omission/transposition/substitution,pending_manual_check,Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,Who played Aunty Entity' in the film 'Mad Max Beond the Thunderdome'?
factual_qa_9317,factual_qa,mandarjoshi/trivia_qa,9317,paraphrasing,llm_assisted_posix_paraphrase,Reference 3 POSIX: GPT-3.5-Turbo paraphrase generation,pending_manual_check,Which part of the human body contains the most gold?,"In the human body, where is the highest concentration of gold found?"
factual_qa_9317,factual_qa,mandarjoshi/trivia_qa,9317,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,pending_manual_check,Which part of the human body contains the most gold?,"Within the human body, the most gold is contained in which part?"
factual_qa_9317,factual_qa,mandarjoshi/trivia_qa,9317,formatting_changes,rule_based_template_transformation,Reference 3 POSIX: prompt-template variation,pending_manual_check,Which part of the human body contains the most gold?,Please answer the following prompt: - Prompt: Which part of the human body contains the most gold?
factual_qa_9317,factual_qa,mandarjoshi/trivia_qa,9317,context_injection,fixed_neutral_sentence_bank,"Reference 1 PromptRobust: irrelevant sentence insertion, softened",pending_manual_check,Which part of the human body contains the most gold?,This item appears in a broader collection of benchmark prompts. Which part of the human body contains the most gold?
factual_qa_9317,factual_qa,mandarjoshi/trivia_qa,9317,surface_noise,rule_based_posix_spelling_error,Reference 3 POSIX: insertion/omission/transposition/substitution,pending_manual_check,Which part of the human body contains the most gold?,Which part of the human body contains the most golmd?
factual_qa_12706,factual_qa,mandarjoshi/trivia_qa,12706,paraphrasing,llm_assisted_posix_paraphrase,Reference 3 POSIX: GPT-3.5-Turbo paraphrase generation,pending_manual_check,Mrs Maria Fitzherbert was the wife of which British monarch?,Who was the spouse of the British monarch known as Mrs Maria Fitzherbert?
factual_qa_12706,factual_qa,mandarjoshi/trivia_qa,12706,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,pending_manual_check,Mrs Maria Fitzherbert was the wife of which British monarch?,Which British monarch was Mrs Maria Fitzherbert the wife of?
factual_qa_12706,factual_qa,mandarjoshi/trivia_qa,12706,formatting_changes,rule_based_template_transformation,Reference 3 POSIX: prompt-template variation,pending_manual_check,Mrs Maria Fitzherbert was the wife of which British monarch?,Please answer the following prompt: - Prompt: Mrs Maria Fitzherbert was the wife of which British monarch?
factual_qa_12706,factual_qa,mandarjoshi/trivia_qa,12706,context_injection,fixed_neutral_sentence_bank,"Reference 1 PromptRobust: irrelevant sentence insertion, softened",pending_manual_check,Mrs Maria Fitzherbert was the wife of which British monarch?,The following request is provided for a routine model-response comparison. Mrs Maria Fitzherbert was the wife of which British monarch?
factual_qa_12706,factual_qa,mandarjoshi/trivia_qa,12706,surface_noise,rule_based_posix_spelling_error,Reference 3 POSIX: insertion/omission/transposition/substitution,pending_manual_check,Mrs Maria Fitzherbert was the wife of which British monarch?,Mrs Mraia Fitzherbert was the wife of which British monarch?
factual_qa_12920,factual_qa,mandarjoshi/trivia_qa,12920,paraphrasing,llm_assisted_posix_paraphrase,Reference 3 POSIX: GPT-3.5-Turbo paraphrase generation,pending_manual_check,"""The X-Files spawned two theatrical movies, """"The X-Files"""" and """"I Want To Believe"""", and which spin-off TV series?""","Which spin-off television series were produced as a result of ""The X-Files"" franchise, in addition to the two theatrical movies ""The X-Files"" and ""I Want To Believe""?"
factual_qa_12920,factual_qa,mandarjoshi/trivia_qa,12920,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,pending_manual_check,"""The X-Files spawned two theatrical movies, """"The X-Files"""" and """"I Want To Believe"""", and which spin-off TV series?""","Along with the theatrical movies ""The X-Files"" and ""I Want To Believe"", which spin-off TV series was spawned by ""The X-Files""?"
factual_qa_12920,factual_qa,mandarjoshi/trivia_qa,12920,formatting_changes,rule_based_template_transformation,Reference 3 POSIX: prompt-template variation,pending_manual_check,"""The X-Files spawned two theatrical movies, """"The X-Files"""" and """"I Want To Believe"""", and which spin-off TV series?""","Please answer the following prompt: - Prompt: ""The X-Files spawned two theatrical movies, """"The X-Files"""" and """"I Want To Believe"""", and which spin-off TV series?"""
factual_qa_12920,factual_qa,mandarjoshi/trivia_qa,12920,context_injection,fixed_neutral_sentence_bank,"Reference 1 PromptRobust: irrelevant sentence insertion, softened",pending_manual_check,"""The X-Files spawned two theatrical movies, """"The X-Files"""" and """"I Want To Believe"""", and which spin-off TV series?""","This prompt is part of a general language-model evaluation. ""The X-Files spawned two theatrical movies, """"The X-Files"""" and """"I Want To Believe"""", and which spin-off TV series?"""
