task_type,perturbation_type,n_items,mean_noise_corrected_drift,std_noise_corrected_drift,similarity_metric
code_generation,context_injection,50,0.002302,0.014865,sentence-transformers/all-MiniLM-L6-v2
code_generation,formatting_changes,50,0.001611,0.014609,sentence-transformers/all-MiniLM-L6-v2
code_generation,paraphrasing,50,0.023244,0.029582,sentence-transformers/all-MiniLM-L6-v2
code_generation,reordering,50,0.003268,0.014686,sentence-transformers/all-MiniLM-L6-v2
code_generation,surface_noise,50,0.005638,0.022177,sentence-transformers/all-MiniLM-L6-v2
factual_qa,context_injection,50,0.011327,0.058742,sentence-transformers/all-MiniLM-L6-v2
factual_qa,formatting_changes,50,0.025341,0.127872,sentence-transformers/all-MiniLM-L6-v2
factual_qa,paraphrasing,50,0.138648,0.194378,sentence-transformers/all-MiniLM-L6-v2
factual_qa,reordering,50,0.092111,0.166799,sentence-transformers/all-MiniLM-L6-v2
factual_qa,surface_noise,50,0.010097,0.044817,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,context_injection,50,0.006033,0.033344,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,formatting_changes,50,0.004011,0.027486,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,paraphrasing,50,0.0316,0.066648,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,reordering,50,0.003357,0.030893,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,surface_noise,50,0.000156,0.02054,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,context_injection,50,0.001747,0.03994,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,formatting_changes,50,0.023402,0.084646,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,paraphrasing,50,0.133915,0.199766,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,reordering,50,0.037947,0.079888,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,surface_noise,50,0.003846,0.039639,sentence-transformers/all-MiniLM-L6-v2
