task_type,perturbation_type,n_items,mean_uncorrected_drift,std_uncorrected_drift,similarity_metric
code_generation,context_injection,50,0.059843,0.023792,sentence-transformers/all-MiniLM-L6-v2
code_generation,formatting_changes,50,0.059152,0.020465,sentence-transformers/all-MiniLM-L6-v2
code_generation,paraphrasing,50,0.080785,0.035447,sentence-transformers/all-MiniLM-L6-v2
code_generation,reordering,50,0.060809,0.023808,sentence-transformers/all-MiniLM-L6-v2
code_generation,surface_noise,50,0.063179,0.025074,sentence-transformers/all-MiniLM-L6-v2
factual_qa,context_injection,50,0.034309,0.064971,sentence-transformers/all-MiniLM-L6-v2
factual_qa,formatting_changes,50,0.048322,0.129559,sentence-transformers/all-MiniLM-L6-v2
factual_qa,paraphrasing,50,0.161629,0.188809,sentence-transformers/all-MiniLM-L6-v2
factual_qa,reordering,50,0.115092,0.167826,sentence-transformers/all-MiniLM-L6-v2
factual_qa,surface_noise,50,0.033078,0.054982,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,context_injection,50,0.093717,0.048865,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,formatting_changes,50,0.091695,0.039526,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,paraphrasing,50,0.119284,0.062905,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,reordering,50,0.091041,0.041301,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,surface_noise,50,0.08784,0.040022,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,context_injection,50,0.081517,0.063127,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,formatting_changes,50,0.103171,0.106884,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,paraphrasing,50,0.213685,0.209003,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,reordering,50,0.117717,0.111883,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,surface_noise,50,0.083615,0.072472,sentence-transformers/all-MiniLM-L6-v2
