item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric
code_generation_102,code_generation,context_injection,5,5,0.98761,0.97937,0.02063,0.008241,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,context_injection,5,5,0.877013,0.92053,0.07947,-0.043517,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,context_injection,5,5,0.991559,0.785131,0.214869,0.206428,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,context_injection,5,5,0.905124,0.92065,0.07935,-0.015526,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,context_injection,5,5,0.927812,0.932651,0.067349,-0.004839,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,context_injection,5,5,0.955384,0.961524,0.038476,-0.006139,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,context_injection,5,5,0.975701,0.986476,0.013524,-0.010775,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,context_injection,5,5,0.869712,0.855873,0.144127,0.013839,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,context_injection,5,5,1.0,1.0,-0.0,0.0,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,context_injection,5,5,0.877173,0.810276,0.189724,0.066896,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,context_injection,5,5,0.97237,0.959215,0.040785,0.013155,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,context_injection,5,5,0.988781,0.989488,0.010512,-0.000707,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,context_injection,5,5,0.98636,0.980302,0.019698,0.006057,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,context_injection,5,5,0.929578,0.91575,0.08425,0.013828,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,context_injection,5,5,0.955416,0.945761,0.054239,0.009655,sentence-transformers/all-MiniLM-L6-v2
code_generation_142,code_generation,context_injection,5,5,0.832081,0.817946,0.182054,0.014136,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,context_injection,5,5,0.918483,0.865774,0.134226,0.05271,sentence-transformers/all-MiniLM-L6-v2
code_generation_145,code_generation,context_injection,5,5,0.931755,0.815658,0.184342,0.116097,sentence-transformers/all-MiniLM-L6-v2
code_generation_146,code_generation,context_injection,5,5,0.952868,0.607027,0.392973,0.345841,sentence-transformers/all-MiniLM-L6-v2
code_generation_15,code_generation,context_injection,5,5,1.0,1.0,-0.0,0.0,sentence-transformers/all-MiniLM-L6-v2
code_generation_153,code_generation,context_injection,5,5,0.987754,0.982866,0.017134,0.004888,sentence-transformers/all-MiniLM-L6-v2
code_generation_157,code_generation,context_injection,5,5,0.948622,0.933632,0.066368,0.01499,sentence-transformers/all-MiniLM-L6-v2
code_generation_17,code_generation,context_injection,5,5,0.948478,0.809776,0.190224,0.138702,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,context_injection,5,5,0.989709,0.957043,0.042957,0.032666,sentence-transformers/all-MiniLM-L6-v2
code_generation_24,code_generation,context_injection,5,5,0.957165,0.952204,0.047796,0.004961,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,context_injection,5,5,0.979728,0.975994,0.024006,0.003734,sentence-transformers/all-MiniLM-L6-v2
code_generation_26,code_generation,context_injection,5,5,0.990566,0.974034,0.025966,0.016531,sentence-transformers/all-MiniLM-L6-v2
code_generation_28,code_generation,context_injection,5,5,0.977159,0.988579,0.011421,-0.011421,sentence-transformers/all-MiniLM-L6-v2
code_generation_31,code_generation,context_injection,5,5,0.983808,0.983446,0.016554,0.000362,sentence-transformers/all-MiniLM-L6-v2
code_generation_32,code_generation,context_injection,5,5,0.897836,0.894826,0.105174,0.00301,sentence-transformers/all-MiniLM-L6-v2
code_generation_33,code_generation,context_injection,5,5,0.961786,0.9682,0.0318,-0.006413,sentence-transformers/all-MiniLM-L6-v2
code_generation_34,code_generation,context_injection,5,5,0.998333,0.997441,0.002559,0.000892,sentence-transformers/all-MiniLM-L6-v2
code_generation_35,code_generation,context_injection,5,5,0.994826,0.876891,0.123109,0.117935,sentence-transformers/all-MiniLM-L6-v2
code_generation_37,code_generation,context_injection,5,5,0.873782,0.883649,0.116351,-0.009867,sentence-transformers/all-MiniLM-L6-v2
code_generation_38,code_generation,context_injection,5,5,0.936898,0.934136,0.065864,0.002762,sentence-transformers/all-MiniLM-L6-v2
code_generation_40,code_generation,context_injection,5,5,0.996137,0.944593,0.055407,0.051544,sentence-transformers/all-MiniLM-L6-v2
code_generation_44,code_generation,context_injection,5,5,0.937858,0.953412,0.046588,-0.015555,sentence-transformers/all-MiniLM-L6-v2
code_generation_48,code_generation,context_injection,5,5,1.0,0.999242,0.000758,0.000758,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,context_injection,5,5,0.976302,0.938939,0.061061,0.037363,sentence-transformers/all-MiniLM-L6-v2
code_generation_60,code_generation,context_injection,5,5,0.995718,0.990488,0.009512,0.005229,sentence-transformers/all-MiniLM-L6-v2
code_generation_64,code_generation,context_injection,5,5,0.980264,0.977166,0.022834,0.003098,sentence-transformers/all-MiniLM-L6-v2
code_generation_68,code_generation,context_injection,5,5,1.0,1.0,0.0,0.0,sentence-transformers/all-MiniLM-L6-v2
code_generation_7,code_generation,context_injection,5,5,1.0,1.0,-0.0,0.0,sentence-transformers/all-MiniLM-L6-v2
code_generation_71,code_generation,context_injection,5,5,0.987407,0.985206,0.014794,0.0022,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,context_injection,5,5,0.945642,0.860724,0.139276,0.084918,sentence-transformers/all-MiniLM-L6-v2
code_generation_78,code_generation,context_injection,5,5,0.943326,0.889014,0.110986,0.054312,sentence-transformers/all-MiniLM-L6-v2
code_generation_82,code_generation,context_injection,5,5,0.946464,0.948791,0.051209,-0.002327,sentence-transformers/all-MiniLM-L6-v2
code_generation_83,code_generation,context_injection,5,5,0.939959,0.870081,0.129919,0.069878,sentence-transformers/all-MiniLM-L6-v2
code_generation_85,code_generation,context_injection,5,5,0.90868,0.863243,0.136757,0.045437,sentence-transformers/all-MiniLM-L6-v2
code_generation_92,code_generation,context_injection,5,5,0.986251,0.974436,0.025564,0.011815,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,formatting_changes,5,5,0.98761,0.989342,0.010658,-0.001732,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,formatting_changes,5,5,0.877013,0.869755,0.130245,0.007258,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,formatting_changes,5,5,0.991559,0.966641,0.033359,0.024919,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,formatting_changes,5,5,0.905124,0.923023,0.076977,-0.017899,sentence-transformers/all-MiniLM-L6-v2
