item_id,task_type,dataset_name,dataset_split,source_index,source_id,prompt_text,reference_answer,random_seed
factual_qa_8562,factual_qa,mandarjoshi/trivia_qa,validation,8562,odql_12228,Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Liverpool,20260623
factual_qa_298,factual_qa,mandarjoshi/trivia_qa,validation,298,qz_438,"From which country do French fries originate? France, Belgium or Switzerland?",Switzerland,20260623
math_reasoning_975,math_reasoning,openai/gsm8k,train,975,975,John hits 70% of his free throws. For every foul he gets 2 shots. He gets fouled 5 times a game. How many free throws does he get if he plays in 80% of the 20 games the team plays?,112,20260623
math_reasoning_976,math_reasoning,openai/gsm8k,train,976,976,"Ludwig works 7 days a week and he usually works half of the day during Friday, Saturday, and Sunday. If his daily salary is $10, how much does he earn every week?",55,20260623
math_reasoning_977,math_reasoning,openai/gsm8k,train,977,977,"Tommy goes for a run around his neighborhood and decides to calculate how many wheels he saw. All the trucks in his neighborhood have 4 wheels and all the cars in his neighborhood also have 4 wheels. If he saw 12 trucks and 13 cars, how many wheels did he see?",100,20260623
math_reasoning_978,math_reasoning,openai/gsm8k,train,978,978,"Stephen has 110 ants in his ant farm. Half of the ants are worker ants, 20 percent of the worker ants are male. How many female worker ants are there?",44,20260623
math_reasoning_979,math_reasoning,openai/gsm8k,train,979,979,"At football tryouts, the coach wanted to see who could throw the ball the farthest. Parker threw the ball 16 yards. Grant threw the ball 25 percent farther than Parker and Kyle threw the ball 2 times farther than Grant. Compared to Parker, how much farther did Kyle throw the ball?",24,20260623
code_generation_147,code_generation,bigcode/humanevalpack,test,147,Python/147,"Write a Python function `get_max_triples(n)` to solve the following problem: You are given a positive integer n. You have to create an integer array a of length n. For each i (1 ≤ i ≤ n), the value of a[i] = i * i - i + 1. Return the number of triples (a[i], a[j], a[k]) of a where i < j < k, and a[i] + a[j] + a[k] is a multiple of 3. Example : Input: n = 5 Output: 1 Explanation: a = [1, 3, 7, 13, 21] The only valid triple is (1, 7, 13).","A = [i*i - i + 1 for i in range(1,n+1)] ans = [] for i in range(n): for j in range(i+1,n): for k in range(j+1,n): if (A[i]+A[j]+A[k])%3 == 0: ans += [(A[i],A[j],A[k])] return len(ans)",20260623
code_generation_148,code_generation,bigcode/humanevalpack,test,148,Python/148,"Write a Python function `bf(planet1, planet2)` to solve the following problem: There are eight planets in our solar system: the closerst to the Sun is Mercury, the next one is Venus, then Earth, Mars, Jupiter, Saturn, Uranus, Neptune. Write a function that takes two planet names as strings planet1 and planet2. The function should return a tuple containing all planets whose orbits are located between the orbit of planet1 and the orbit of planet2, sorted by the proximity to the sun. The function should return an empty tuple if planet1 or planet2 are not correct planet names. Examples bf(""Jupiter"", ""Neptune"") ==> (""Saturn"", ""Uranus"") bf(""Earth"", ""Mercury"") ==> (""Venus"") bf(""Mercury"", ""Uranus"") ==> (""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"")","planet_names = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"") if planet1 not in planet_names or planet2 not in planet_names or planet1 == planet2: return () planet1_index = planet_names.index(planet1) planet2_index = planet_names.index(planet2) if planet1_index < planet2_index: return (planet_names[planet1_index + 1: planet2_index]) else: return (planet_names[planet2_index + 1 : planet1_index])",20260623
code_generation_149,code_generation,bigcode/humanevalpack,test,149,Python/149,"Write a Python function `sorted_list_sum(lst)` to solve the following problem: Write a function that accepts a list of strings as a parameter, deletes the strings that have odd lengths from it, and returns the resulted list with a sorted order, The list is always a list of strings and never an array of numbers, and it may contain duplicates. The order of the list should be ascending by length of each word, and you should return the list sorted by that rule. If two words have the same length, sort the list alphabetically. The function should return a list of strings in sorted order. You may assume that all words will have the same length. For example: assert list_sort([""aa"", ""a"", ""aaa""]) => [""aa""] assert list_sort([""ab"", ""a"", ""aaa"", ""cd""]) => [""ab"", ""cd""]","lst.sort() new_lst = [] for i in lst: if len(i)%2 == 0: new_lst.append(i) return sorted(new_lst, key=len)",20260623
