item_id,task_type,dataset_name,n_outputs,n_pairs,mean_within_prompt_similarity,sampling_noise_drift,similarity_metric
code_generation_102,code_generation,bigcode/humanevalpack,5,10,0.98761,0.01239,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,bigcode/humanevalpack,5,10,0.877013,0.122987,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,bigcode/humanevalpack,5,10,0.991559,0.008441,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,bigcode/humanevalpack,5,10,0.905124,0.094876,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,bigcode/humanevalpack,5,10,0.927812,0.072188,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,bigcode/humanevalpack,5,10,0.955384,0.044616,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,bigcode/humanevalpack,5,10,0.975701,0.024299,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,bigcode/humanevalpack,5,10,0.869712,0.130288,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,bigcode/humanevalpack,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,bigcode/humanevalpack,5,10,0.877173,0.122827,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,bigcode/humanevalpack,5,10,0.97237,0.02763,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,bigcode/humanevalpack,5,10,0.988781,0.011219,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,bigcode/humanevalpack,5,10,0.98636,0.01364,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,bigcode/humanevalpack,5,10,0.929578,0.070422,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,bigcode/humanevalpack,5,10,0.955416,0.044584,sentence-transformers/all-MiniLM-L6-v2
code_generation_142,code_generation,bigcode/humanevalpack,5,10,0.832081,0.167919,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,bigcode/humanevalpack,5,10,0.918483,0.081517,sentence-transformers/all-MiniLM-L6-v2
code_generation_145,code_generation,bigcode/humanevalpack,5,10,0.931755,0.068245,sentence-transformers/all-MiniLM-L6-v2
code_generation_146,code_generation,bigcode/humanevalpack,5,10,0.952868,0.047132,sentence-transformers/all-MiniLM-L6-v2
code_generation_15,code_generation,bigcode/humanevalpack,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
code_generation_153,code_generation,bigcode/humanevalpack,5,10,0.987754,0.012246,sentence-transformers/all-MiniLM-L6-v2
code_generation_157,code_generation,bigcode/humanevalpack,5,10,0.948622,0.051378,sentence-transformers/all-MiniLM-L6-v2
code_generation_17,code_generation,bigcode/humanevalpack,5,10,0.948478,0.051522,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,bigcode/humanevalpack,5,10,0.989709,0.010291,sentence-transformers/all-MiniLM-L6-v2
