item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric
code_generation_102,code_generation,context_injection,5,5,0.907713,0.870927,0.129073,0.036786,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,formatting_changes,5,5,0.907713,0.891651,0.108349,0.016062,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,paraphrasing,5,5,0.907713,0.889416,0.110584,0.018297,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,reordering,5,5,0.907713,0.906791,0.093209,0.000922,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,surface_noise,5,5,0.907713,0.910077,0.089923,-0.002364,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,context_injection,5,5,0.882529,0.901442,0.098558,-0.018914,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,formatting_changes,5,5,0.882529,0.89113,0.10887,-0.008601,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,paraphrasing,5,5,0.882529,0.887677,0.112323,-0.005148,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,reordering,5,5,0.882529,0.89209,0.10791,-0.009561,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,surface_noise,5,5,0.882529,0.892756,0.107244,-0.010227,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,context_injection,5,5,0.905735,0.921551,0.078449,-0.015816,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,formatting_changes,5,5,0.905735,0.919022,0.080978,-0.013286,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,paraphrasing,5,5,0.905735,0.914764,0.085236,-0.009029,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,reordering,5,5,0.905735,0.898465,0.101535,0.00727,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise,5,5,0.905735,0.915326,0.084674,-0.009591,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,context_injection,5,5,0.926704,0.907794,0.092206,0.01891,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,formatting_changes,5,5,0.926704,0.910128,0.089872,0.016576,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,paraphrasing,5,5,0.926704,0.911659,0.088341,0.015045,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,reordering,5,5,0.926704,0.927336,0.072664,-0.000632,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise,5,5,0.926704,0.919278,0.080722,0.007426,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,context_injection,5,5,0.82822,0.818758,0.181242,0.009462,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,formatting_changes,5,5,0.82822,0.837852,0.162148,-0.009632,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,paraphrasing,5,5,0.82822,0.82082,0.17918,0.0074,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,reordering,5,5,0.82822,0.833088,0.166912,-0.004868,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,surface_noise,5,5,0.82822,0.841421,0.158579,-0.013202,sentence-transformers/all-MiniLM-L6-v2
