item_id,task_type,dataset_name,source_index,perturbation_type,sample_id,model_name,temperature,top_p,max_output_tokens,original_prompt,perturbed_prompt,output_text
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,paraphrasing,1,gpt-4o-mini,0.7,0.9,,"Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.

Question: Who has elected the President of Warsaw since 1990?","Since 1990, who has been responsible for electing the President of Warsaw?","Since 1990, the President of Warsaw has been elected by the city's residents through direct elections."
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,paraphrasing,2,gpt-4o-mini,0.7,0.9,,"Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.

Question: Who has elected the President of Warsaw since 1990?","Since 1990, who has been responsible for electing the President of Warsaw?","Since 1990, the President of Warsaw has been elected by the city's residents through direct elections. This change followed the political transformations in Poland after the fall of communism, allowing for democratic governance at the local level."
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,paraphrasing,3,gpt-4o-mini,0.7,0.9,,"Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.

Question: Who has elected the President of Warsaw since 1990?","Since 1990, who has been responsible for electing the President of Warsaw?","Since 1990, the President of Warsaw has been elected by the residents of the city through direct elections."
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,paraphrasing,4,gpt-4o-mini,0.7,0.9,,"Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.

Question: Who has elected the President of Warsaw since 1990?","Since 1990, who has been responsible for electing the President of Warsaw?","Since 1990, the President of Warsaw has been elected by the city's residents through direct elections."
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,paraphrasing,5,gpt-4o-mini,0.7,0.9,,"Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.

Question: Who has elected the President of Warsaw since 1990?","Since 1990, who has been responsible for electing the President of Warsaw?","Since 1990, the President of Warsaw has been elected by the residents of the city through direct elections."
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,reordering,1,gpt-4o-mini,0.7,0.9,,"Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.

Question: Who has elected the President of Warsaw since 1990?","Question: Who has elected the President of Warsaw since 1990?

Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.","Since 1990, the President of Warsaw has been elected by the City Council. However, from 1994 to 1999, the mayor of the district Centrum was automatically designated as the President of Warsaw, and since 2002, the President has been elected by all citizens of Warsaw."
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,reordering,2,gpt-4o-mini,0.7,0.9,,"Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.

Question: Who has elected the President of Warsaw since 1990?","Question: Who has elected the President of Warsaw since 1990?

Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.","Since 1990, the President of Warsaw has been elected by the City Council. From 1994 to 1999, the mayor of the district Centrum was automatically designated as the President of Warsaw, but since 2002, the President has been elected by all citizens of Warsaw."
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,reordering,3,gpt-4o-mini,0.7,0.9,,"Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.

Question: Who has elected the President of Warsaw since 1990?","Question: Who has elected the President of Warsaw since 1990?

Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.","Since 1990, the President of Warsaw has been elected by the City Council. From 1994 to 1999, the President was automatically designated from the mayor of the district Centrum, who was elected by the district council. However, since 2002, the President of Warsaw has been elected by all citizens of Warsaw."
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,reordering,4,gpt-4o-mini,0.7,0.9,,"Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.

Question: Who has elected the President of Warsaw since 1990?","Question: Who has elected the President of Warsaw since 1990?

Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.","Since 1990, the President of Warsaw has been elected by the City Council. However, from 1994 to 1999, the mayor of the district Centrum was automatically designated as the President of Warsaw, with that mayor being elected by the district council. Since 2002, the President of Warsaw has been elected directly by all citizens of Warsaw."
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,reordering,5,gpt-4o-mini,0.7,0.9,,"Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.

Question: Who has elected the President of Warsaw since 1990?","Question: Who has elected the President of Warsaw since 1990?

Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.","Since 1990, the President of Warsaw has been elected by the City Council. However, from 1994 to 1999, the mayor of the district Centrum was automatically designated as the President of Warsaw. Since 2002, the President of Warsaw has been elected by all citizens of Warsaw."
